"","DV","Trimmed","Observations","term","estimate","std.error","statistic","p.value","Model_Formula","Data_Used"
"21","Score",TRUE,1093,"IdeologyLag1",0.0510053921626921,0.0214677199755347,2.37591100595776,0.0175056843336282,"Score ~ IdeologyLag1 + PolarizationLag1 + log_GDPPerCapita +      factor_State + factor_Year","1093 x 6"
"22","Score",TRUE,1093,"PolarizationLag1",0.0682448131129463,0.0519437738335765,1.31382085043718,0.188906499239391,"Score ~ IdeologyLag1 + PolarizationLag1 + log_GDPPerCapita +      factor_State + factor_Year","1093 x 6"
"23","Score",TRUE,1087,"IdeologyLag2",0.0610478213447836,0.0209557401125858,2.91317896751921,0.00357769493071748,"Score ~ IdeologyLag2 + PolarizationLag2 + log_GDPPerCapita +      factor_State + factor_Year","1087 x 6"
"24","Score",TRUE,1087,"PolarizationLag2",-0.00759679316618191,0.0538638821334986,-0.141036866732956,0.88784081797676,"Score ~ IdeologyLag2 + PolarizationLag2 + log_GDPPerCapita +      factor_State + factor_Year","1087 x 6"
"25","CI_Score",TRUE,1087,"Ideology",0.00298493176470964,0.0234786876526208,0.127133671560917,0.898834601629495,"CI_Score ~ Ideology + Polarization + log_GDPPerCapita + factor_State +      factor_Year","1087 x 6"
"26","CI_Score",TRUE,1087,"Polarization",-0.0373935776476769,0.0636047648822446,-0.587905288493809,0.556595866532394,"CI_Score ~ Ideology + Polarization + log_GDPPerCapita + factor_State +      factor_Year","1087 x 6"
"27","CI_Score",TRUE,1089,"IdeologyLag1",0.00827600095063643,0.0238173842291746,0.347477324587933,0.728232750875062,"CI_Score ~ IdeologyLag1 + PolarizationLag1 + log_GDPPerCapita +      factor_State + factor_Year","1089 x 6"
"28","CI_Score",TRUE,1089,"PolarizationLag1",-0.0748443192439245,0.0631484703564675,-1.18521191125351,0.235933671612389,"CI_Score ~ IdeologyLag1 + PolarizationLag1 + log_GDPPerCapita +      factor_State + factor_Year","1089 x 6"
"29","CI_Score",TRUE,1085,"IdeologyLag2",-0.00370826061063245,0.022706724437447,-0.163311120494197,0.870273478560555,"CI_Score ~ IdeologyLag2 + PolarizationLag2 + log_GDPPerCapita +      factor_State + factor_Year","1085 x 6"
"30","CI_Score",TRUE,1085,"PolarizationLag2",-0.109382764286264,0.0652133110058336,-1.67730732574642,0.0934824007838484,"CI_Score ~ IdeologyLag2 + PolarizationLag2 + log_GDPPerCapita +      factor_State + factor_Year","1085 x 6"
"31","EE_Score",TRUE,1087,"Ideology",0.0848002876391338,0.0407407782456745,2.08145968954673,0.0373918500935734,"EE_Score ~ Ideology + Polarization + log_GDPPerCapita + factor_State +      factor_Year","1087 x 6"
"32","EE_Score",TRUE,1087,"Polarization",0.235981558690966,0.0905303521895267,2.60665680607245,0.00914309493989545,"EE_Score ~ Ideology + Polarization + log_GDPPerCapita + factor_State +      factor_Year","1087 x 6"
"33","EE_Score",TRUE,1086,"IdeologyLag1",0.087907161848133,0.0438803032884181,2.00333988738258,0.0451408189123547,"EE_Score ~ IdeologyLag1 + PolarizationLag1 + log_GDPPerCapita +      factor_State + factor_Year","1086 x 6"
"34","EE_Score",TRUE,1086,"PolarizationLag1",0.208628829481092,0.0979504375573527,2.12994280254169,0.033176335823313,"EE_Score ~ IdeologyLag1 + PolarizationLag1 + log_GDPPerCapita +      factor_State + factor_Year","1086 x 6"
"35","EE_Score",TRUE,1079,"IdeologyLag2",0.0833245405186721,0.0448723677755848,1.85692319459035,0.063322082107191,"EE_Score ~ IdeologyLag2 + PolarizationLag2 + log_GDPPerCapita +      factor_State + factor_Year","1079 x 6"
"36","EE_Score",TRUE,1079,"PolarizationLag2",0.155609052556817,0.10093252948706,1.54171359171937,0.12314320760309,"EE_Score ~ IdeologyLag2 + PolarizationLag2 + log_GDPPerCapita +      factor_State + factor_Year","1079 x 6"
