"Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector"
1995,Alabama,63,Priv. Manufacturing,518,"432,567","84,305","86,149",19.50%,19.90%
1995,Alabama,63,Private,1710,"1,435,977","146,860","152,993",10.20%,10.70%
1995,Alabama,63,Public,350,"290,369","88,644","103,495",30.50%,35.60%
1995,Alabama,63,Total,2060,"1,726,345","235,503","256,489",13.60%,14.90%
1996,Alabama,63,Priv. Construction,95,"87,373","7,325","7,325",8.40%,8.40%
1996,Alabama,63,Priv. Manufacturing,493,"434,645","71,822","77,292",16.50%,17.80%
1996,Alabama,63,Private,1666,"1,470,431","121,749","133,914",8.30%,9.10%
1996,Alabama,63,Public,330,"291,193","78,948","92,249",27.10%,31.70%
1996,Alabama,63,Total,1996,"1,761,624","200,696","226,163",11.40%,12.80%
1997,Alabama,63,Priv. Construction,100,"90,802","3,654","3,654",4.00%,4.00%
1997,Alabama,63,Priv. Manufacturing,473,"419,916","71,518","76,180",17.00%,18.10%
1997,Alabama,63,Private,1734,"1,523,757","110,757","120,551",7.30%,7.90%
1997,Alabama,63,Public,333,"288,680","73,741","91,658",25.50%,31.80%
1997,Alabama,63,Total,2067,"1,812,437","184,499","212,209",10.20%,11.70%
1998,Alabama,63,Priv. Construction,115,"102,436","8,035","9,781",7.80%,9.50%
1998,Alabama,63,Priv. Manufacturing,426,"385,746","53,258","58,034",13.80%,15.00%
1998,Alabama,63,Private,1703,"1,543,010","95,699","115,018",6.20%,7.50%
1998,Alabama,63,Public,349,"311,398","84,505","103,335",27.10%,33.20%
1998,Alabama,63,Total,2052,"1,854,408","180,204","218,353",9.70%,11.80%
1999,Alabama,63,Priv. Construction,128,"114,554","10,504","11,297",9.20%,9.90%
1999,Alabama,63,Priv. Manufacturing,455,"399,882","65,973","69,713",16.50%,17.40%
1999,Alabama,63,Private,1755,"1,533,547","107,481","116,024",7.00%,7.60%
1999,Alabama,63,Public,337,"299,215","93,536","108,886",31.30%,36.40%
1999,Alabama,63,Total,2092,"1,832,763","201,017","224,910",11.00%,12.30%
2000,Alabama,63,Priv. Construction,118,"98,430","5,123","5,123",5.20%,5.20%
2000,Alabama,63,Priv. Manufacturing,442,"371,759","53,443","55,151",14.40%,14.80%
2000,Alabama,63,Private,1890,"1,576,418","91,518","98,643",5.80%,6.30%
2000,Alabama,63,Public,364,"301,512","89,320","98,922",29.60%,32.80%
2000,Alabama,63,Total,2254,"1,877,929","180,838","197,564",9.60%,10.50%
2001,Alabama,63,Priv. Construction,126,"98,164","7,197","8,137",7.30%,8.30%
2001,Alabama,63,Priv. Manufacturing,465,"353,892","55,918","58,328",15.80%,16.50%
2001,Alabama,63,Private,2014,"1,530,181","99,867","110,272",6.50%,7.20%
2001,Alabama,63,Public,402,"297,014","80,870","91,454",27.20%,30.80%
2001,Alabama,63,Total,2416,"1,827,196","180,737","201,725",9.90%,11.00%
2002,Alabama,63,Priv. Construction,135,"98,222","11,719","11,719",11.90%,11.90%
2002,Alabama,63,Priv. Manufacturing,476,"341,615","48,160","50,723",14.10%,14.80%
2002,Alabama,63,Private,2099,"1,499,185","90,179","99,750",6.00%,6.70%
2002,Alabama,63,Public,423,"296,407","71,173","88,579",24.00%,29.90%
2002,Alabama,63,Total,2522,"1,795,592","161,352","188,329",9.00%,10.50%
2003,Alabama,63,Priv. Construction,130,"100,694","2,036","2,729",2.00%,2.70%
2003,Alabama,63,Priv. Manufacturing,446,"333,461","45,269","52,127",13.60%,15.60%
2003,Alabama,63,Private,2017,"1,515,995","79,477","90,587",5.20%,6.00%
2003,Alabama,63,Public,421,"305,564","67,475","81,825",22.10%,26.80%
2003,Alabama,63,Total,2438,"1,821,559","146,952","172,413",8.10%,9.50%
2004,Alabama,63,Priv. Construction,135,"116,603","5,309","5,309",4.60%,4.60%
2004,Alabama,63,Priv. Manufacturing,400,"327,213","38,888","44,610",11.90%,13.60%
2004,Alabama,63,Private,1893,"1,552,701","87,953","101,006",5.70%,6.50%
2004,Alabama,63,Public,394,"308,260","93,333","112,103",30.30%,36.40%
2004,Alabama,63,Total,2287,"1,860,961","181,286","213,109",9.70%,11.50%
2005,Alabama,63,Priv. Construction,127,"126,592","9,642","11,415",7.60%,9.00%
2005,Alabama,63,Priv. Manufacturing,337,"322,188","38,978","43,440",12.10%,13.50%
2005,Alabama,63,Private,1675,"1,584,590","94,677","107,086",6.00%,6.80%
2005,Alabama,63,Public,354,"324,903","100,523","116,166",30.90%,35.80%
2005,Alabama,63,Total,2029,"1,909,493","195,200","223,252",10.20%,11.70%
2006,Alabama,63,Priv. Construction,127,"137,685","4,225","6,118",3.10%,4.40%
2006,Alabama,63,Priv. Manufacturing,331,"333,373","29,133","30,921",8.70%,9.30%
2006,Alabama,63,Private,1572,"1,598,093","74,085","84,733",4.60%,5.30%
2006,Alabama,63,Public,331,"332,156","96,028","109,255",28.90%,32.90%
2006,Alabama,63,Total,1903,"1,930,249","170,113","193,988",8.80%,10.00%
2007,Alabama,63,Priv. Construction,127,"142,595","7,611","7,611",5.30%,5.30%
2007,Alabama,63,Priv. Manufacturing,295,"309,522","26,284","32,417",8.50%,10.50%
2007,Alabama,63,Private,1460,"1,555,871","75,862","85,290",4.90%,5.50%
2007,Alabama,63,Public,329,"338,758","104,535","116,136",30.90%,34.30%
2007,Alabama,63,Total,1789,"1,894,629","180,397","201,426",9.50%,10.60%
2008,Alabama,63,Priv. Construction,103,"116,754","8,467","8,467",7.30%,7.30%
2008,Alabama,63,Priv. Manufacturing,259,"269,329","26,997","28,056",10.00%,10.40%
2008,Alabama,63,Private,1397,"1,504,433","76,012","80,590",5.10%,5.40%
2008,Alabama,63,Public,340,"353,950","105,410","118,769",29.80%,33.60%
2008,Alabama,63,Total,1737,"1,858,383","181,421","199,359",9.80%,10.70%
2009,Alabama,63,Priv. Construction,111,"112,008","7,173","10,146",6.40%,9.10%
2009,Alabama,63,Priv. Manufacturing,257,"255,084","34,937","34,937",13.70%,13.70%
2009,Alabama,63,Private,1409,"1,444,231","86,325","99,748",6.00%,6.90%
2009,Alabama,63,Public,312,"318,897","104,999","111,836",32.90%,35.10%
2009,Alabama,63,Total,1721,"1,763,128","191,324","211,584",10.90%,12.00%
2010,Alabama,63,Priv. Construction,92,"100,593","4,785","4,785",4.80%,4.80%
2010,Alabama,63,Priv. Manufacturing,236,"245,221","31,989","35,585",13.00%,14.50%
2010,Alabama,63,Private,1388,"1,463,322","83,562","91,171",5.70%,6.20%
2010,Alabama,63,Public,334,"345,485","99,776","111,617",28.90%,32.30%
2010,Alabama,63,Total,1722,"1,808,807","183,338","202,789",10.10%,11.20%
2011,Alabama,63,Priv. Construction,73,"86,771","8,128","8,128",9.40%,9.40%
2011,Alabama,63,Priv. Manufacturing,259,"281,115","38,258","38,258",13.60%,13.60%
2011,Alabama,63,Private,1365,"1,461,981","98,677","106,353",6.70%,7.30%
2011,Alabama,63,Public,313,"319,904","79,407","85,855",24.80%,26.80%
2011,Alabama,63,Total,1678,"1,781,885","178,084","192,208",10.00%,10.80%
2012,Alabama,63,Priv. Construction,69,"77,560","5,513","5,513",7.10%,7.10%
2012,Alabama,63,Priv. Manufacturing,248,"271,286","25,835","27,870",9.50%,10.30%
2012,Alabama,63,Private,1357,"1,489,329","84,458","94,234",5.70%,6.30%
2012,Alabama,63,Public,296,"323,011","82,252","96,188",25.50%,29.80%
2012,Alabama,63,Total,1653,"1,812,340","166,710","190,422",9.20%,10.50%
2013,Alabama,63,Priv. Construction,82,"91,112","2,821","3,710",3.10%,4.10%
2013,Alabama,63,Priv. Manufacturing,266,"300,297","41,329","42,362",13.80%,14.10%
2013,Alabama,63,Private,1389,"1,572,310","118,371","131,395",7.50%,8.40%
2013,Alabama,63,Public,287,"319,319","85,052","91,074",26.60%,28.50%
2013,Alabama,63,Total,1676,"1,891,629","203,423","222,469",10.80%,11.80%
2014,Alabama,63,Priv. Construction,105,"108,463","2,158","3,437",2.00%,3.20%
2014,Alabama,63,Priv. Manufacturing,307,"292,033","35,185","35,917",12.00%,12.30%
2014,Alabama,63,Private,1627,"1,578,447","109,340","118,990",6.90%,7.50%
2014,Alabama,63,Public,339,"310,622","94,517","108,717",30.40%,35.00%
2014,Alabama,63,Total,1966,"1,889,069","203,857","227,707",10.80%,12.10%
2015,Alabama,63,Priv. Construction,140,"97,730","6,630","7,363",6.80%,7.50%
2015,Alabama,63,Priv. Manufacturing,482,"318,833","24,512","26,396",7.70%,8.30%
2015,Alabama,63,Private,2292,"1,551,204","84,439","89,790",5.40%,5.80%
2015,Alabama,63,Public,488,"311,947","105,394","114,208",33.80%,36.60%
2015,Alabama,63,Total,2780,"1,863,152","189,834","203,998",10.20%,10.90%
2016,Alabama,63,Priv. Construction,154,"96,538","10,875","13,146",11.30%,13.60%
2016,Alabama,63,Priv. Manufacturing,497,"308,202","20,431","21,566",6.60%,7.00%
2016,Alabama,63,Private,2556,"1,582,882","84,488","96,070",5.30%,6.10%
2016,Alabama,63,Public,525,"310,849","69,404","74,250",22.30%,23.90%
2016,Alabama,63,Total,3081,"1,893,731","153,891","170,320",8.10%,9.00%
2017,Alabama,63,Priv. Construction,178,"112,835","7,954","10,296",7.00%,9.10%
2017,Alabama,63,Priv. Manufacturing,470,"290,350","16,284","16,284",5.60%,5.60%
2017,Alabama,63,Private,2553,"1,568,284","71,061","77,732",4.50%,5.00%
2017,Alabama,63,Public,510,"299,721","66,715","73,995",22.30%,24.70%
2017,Alabama,63,Total,3063,"1,868,005","137,776","151,727",7.40%,8.10%
2018,Alabama,63,Priv. Construction,158,"99,800","16,523","16,523",16.60%,16.60%
2018,Alabama,63,Priv. Manufacturing,490,"320,620","23,221","25,462",7.20%,7.90%
2018,Alabama,63,Private,2497,"1,616,086","97,620","104,613",6.00%,6.50%
2018,Alabama,63,Public,527,"333,210","83,024","91,733",24.90%,27.50%
2018,Alabama,63,Total,3024,"1,949,296","180,645","196,346",9.30%,10.10%
2019,Alabama,63,Priv. Construction,171,"115,922","11,976","11,976",10.30%,10.30%
2019,Alabama,63,Priv. Manufacturing,464,"313,005","29,019","34,804",9.30%,11.10%
2019,Alabama,63,Private,2542,"1,716,303","112,142","125,401",6.50%,7.30%
2019,Alabama,63,Public,500,"325,308","61,678","74,845",19.00%,23.00%
2019,Alabama,63,Total,3042,"2,041,611","173,821","200,246",8.50%,9.80%
2020,Alabama,63,Priv. Construction,127,"95,210","7,752","8,255",8.10%,8.70%
2020,Alabama,63,Priv. Manufacturing,404,"296,735","21,474","23,601",7.20%,8.00%
2020,Alabama,63,Private,2215,"1,581,074","85,302","92,854",5.40%,5.90%
2020,Alabama,63,Public,452,"313,257","65,521","70,411",20.90%,22.50%
2020,Alabama,63,Total,2667,"1,894,331","150,824","163,266",8.00%,8.60%
2021,Alabama,63,Priv. Construction,171,"116,277","5,737","6,428",4.90%,5.50%
2021,Alabama,63,Priv. Manufacturing,410,"290,886","14,140","14,741",4.90%,5.10%
2021,Alabama,63,Private,2324,"1,622,053","65,139","75,600",4.00%,4.70%
2021,Alabama,63,Public,463,"315,162","49,371","57,610",15.70%,18.30%
2021,Alabama,63,Total,2787,"1,937,215","114,509","133,210",5.90%,6.90%
2022,Alabama,63,Priv. Construction,183,"135,253","10,165","13,368",7.50%,9.90%
2022,Alabama,63,Priv. Manufacturing,423,"320,711","15,465","16,452",4.80%,5.10%
2022,Alabama,63,Private,2293,"1,739,013","78,254","90,982",4.50%,5.20%
2022,Alabama,63,Public,438,"322,238","70,164","81,185",21.80%,25.20%
2022,Alabama,63,Total,2731,"2,061,251","148,419","172,168",7.20%,8.40%
1983,Alaska,94,Priv. Construction,201,"12,764","3,967","4,508",31.10%,35.30%
1983,Alaska,94,Priv. Manufacturing,155,"10,229","2,384","2,694",23.30%,26.30%
1983,Alaska,94,Private,1805,"115,455","19,920","22,970",17.30%,19.90%
1983,Alaska,94,Public,827,"52,480","21,822","26,214",41.60%,49.90%
1983,Alaska,94,Total,2632,"167,935","41,743","49,184",24.90%,29.30%
1984,Alaska,94,Priv. Construction,208,"14,359","5,531","6,281",38.50%,43.70%
1984,Alaska,94,Priv. Manufacturing,127,"8,744","1,627","1,706",18.60%,19.50%
1984,Alaska,94,Private,1807,"127,556","22,146","24,943",17.40%,19.60%
1984,Alaska,94,Public,788,"55,708","22,149","26,215",39.80%,47.10%
1984,Alaska,94,Total,2595,"183,264","44,295","51,158",24.20%,27.90%
1985,Alaska,94,Priv. Construction,203,"14,424","4,885","5,357",33.90%,37.10%
1985,Alaska,94,Priv. Manufacturing,142,"11,236","2,124","2,190",18.90%,19.50%
1985,Alaska,94,Private,1939,"133,415","22,714","24,762",17.00%,18.60%
1985,Alaska,94,Public,824,"57,652","24,990","28,660",43.30%,49.70%
1985,Alaska,94,Total,2763,"191,067","47,705","53,422",25.00%,28.00%
1986,Alaska,94,Priv. Construction,136,"9,146","3,427","3,560",37.50%,38.90%
1986,Alaska,94,Priv. Manufacturing,121,"9,259","1,250","1,842",13.50%,19.90%
1986,Alaska,94,Private,1896,"131,243","16,933","19,734",12.90%,15.00%
1986,Alaska,94,Public,885,"67,064","29,149","33,317",43.50%,49.70%
1986,Alaska,94,Total,2781,"198,307","46,082","53,051",23.20%,26.80%
1987,Alaska,94,Priv. Construction,118,"8,585","3,015","3,237",35.10%,37.70%
1987,Alaska,94,Priv. Manufacturing,77,"5,505",564,637,10.20%,11.60%
1987,Alaska,94,Private,1704,"125,783","14,921","16,792",11.90%,13.40%
1987,Alaska,94,Public,800,"62,435","26,828","31,313",43.00%,50.20%
1987,Alaska,94,Total,2504,"188,218","41,749","48,106",22.20%,25.60%
1988,Alaska,94,Priv. Construction,103,"7,464","2,382","2,717",31.90%,36.40%
1988,Alaska,94,Priv. Manufacturing,77,"5,623",924,924,16.40%,16.40%
1988,Alaska,94,Private,1702,"125,096","16,879","19,179",13.50%,15.30%
1988,Alaska,94,Public,795,"60,882","28,266","30,690",46.40%,50.40%
1988,Alaska,94,Total,2497,"185,979","45,145","49,869",24.30%,26.80%
1989,Alaska,94,Priv. Construction,114,"8,191","2,758","2,758",33.70%,33.70%
1989,Alaska,94,Priv. Manufacturing,108,"7,588",897,"1,165",11.80%,15.40%
1989,Alaska,94,Private,1785,"128,213","16,847","18,221",13.10%,14.20%
1989,Alaska,94,Public,807,"59,728","26,080","28,701",43.70%,48.10%
1989,Alaska,94,Total,2592,"187,941","42,927","46,923",22.80%,25.00%
1990,Alaska,94,Priv. Construction,119,"9,501","3,223","3,386",33.90%,35.60%
1990,Alaska,94,Priv. Manufacturing,107,"9,509","2,937","3,482",30.90%,36.60%
1990,Alaska,94,Private,1816,"147,547","20,564","23,104",13.90%,15.70%
1990,Alaska,94,Public,795,"65,101","28,200","31,713",43.30%,48.70%
1990,Alaska,94,Total,2611,"212,648","48,764","54,817",22.90%,25.80%
1991,Alaska,94,Priv. Construction,127,"10,697","2,416","2,501",22.60%,23.40%
1991,Alaska,94,Priv. Manufacturing,100,"9,131","1,443","1,800",15.80%,19.70%
1991,Alaska,94,Private,1776,"152,335","18,193","20,115",11.90%,13.20%
1991,Alaska,94,Public,767,"63,401","27,861","31,436",43.90%,49.60%
1991,Alaska,94,Total,2543,"215,737","46,055","51,551",21.30%,23.90%
1992,Alaska,94,Priv. Construction,89,"8,510","2,481","2,481",29.20%,29.20%
1992,Alaska,94,Priv. Manufacturing,88,"8,462","1,032","1,219",12.20%,14.40%
1992,Alaska,94,Private,1640,"153,909","15,703","16,456",10.20%,10.70%
1992,Alaska,94,Public,706,"66,675","29,677","32,285",44.50%,48.40%
1992,Alaska,94,Total,2346,"220,584","45,380","48,740",20.60%,22.10%
1993,Alaska,94,Priv. Construction,124,"11,982","4,082","4,127",34.10%,34.40%
1993,Alaska,94,Priv. Manufacturing,110,"10,552","1,521","1,521",14.40%,14.40%
1993,Alaska,94,Private,1664,"164,761","16,991","18,713",10.30%,11.40%
1993,Alaska,94,Public,755,"75,205","31,086","34,294",41.30%,45.60%
1993,Alaska,94,Total,2419,"239,966","48,077","53,007",20.00%,22.10%
1994,Alaska,94,Priv. Construction,103,"10,960","2,649","2,794",24.20%,25.50%
1994,Alaska,94,Priv. Manufacturing,92,"9,660","1,391","1,391",14.40%,14.40%
1994,Alaska,94,Private,1516,"162,725","16,294","18,577",10.00%,11.40%
1994,Alaska,94,Public,734,"81,026","30,807","35,829",38.00%,44.20%
1994,Alaska,94,Total,2250,"243,751","47,100","54,405",19.30%,22.30%
1995,Alaska,94,Priv. Construction,94,"12,542","3,139","3,371",25.00%,26.90%
1995,Alaska,94,Priv. Manufacturing,55,"7,142",273,416,3.80%,5.80%
1995,Alaska,94,Private,1193,"151,439","17,338","19,875",11.40%,13.10%
1995,Alaska,94,Public,664,"82,644","36,774","40,241",44.50%,48.70%
1995,Alaska,94,Total,1857,"234,083","54,112","60,116",23.10%,25.70%
1996,Alaska,94,Priv. Construction,92,"12,684","4,063","4,172",32.00%,32.90%
1996,Alaska,94,Priv. Manufacturing,65,"9,281",666,898,7.20%,9.70%
1996,Alaska,94,Private,1174,"165,092","20,539","23,239",12.40%,14.10%
1996,Alaska,94,Public,592,"78,360","34,191","37,264",43.60%,47.60%
1996,Alaska,94,Total,1766,"243,453","54,730","60,504",22.50%,24.90%
1997,Alaska,94,Priv. Construction,100,"14,530","2,392","2,674",16.50%,18.40%
1997,Alaska,94,Priv. Manufacturing,64,"8,955",476,589,5.30%,6.60%
1997,Alaska,94,Private,1210,"169,243","16,174","17,973",9.60%,10.60%
1997,Alaska,94,Public,599,"81,183","33,920","37,939",41.80%,46.70%
1997,Alaska,94,Total,1809,"250,425","50,093","55,912",20.00%,22.30%
1998,Alaska,94,Priv. Construction,108,"15,623","5,456","5,598",34.90%,35.80%
1998,Alaska,94,Priv. Manufacturing,66,"9,578",258,414,2.70%,4.30%
1998,Alaska,94,Private,1255,"181,053","18,893","21,652",10.40%,12.00%
1998,Alaska,94,Public,527,"71,869","32,590","36,181",45.30%,50.30%
1998,Alaska,94,Total,1782,"252,922","51,483","57,833",20.40%,22.90%
1999,Alaska,94,Priv. Construction,106,"14,424","4,919","4,919",34.10%,34.10%
1999,Alaska,94,Priv. Manufacturing,60,"8,188",887,"1,104",10.80%,13.50%
1999,Alaska,94,Private,1281,"173,773","20,491","24,268",11.80%,14.00%
1999,Alaska,94,Public,580,"76,767","30,534","34,912",39.80%,45.50%
1999,Alaska,94,Total,1861,"250,540","51,025","59,181",20.40%,23.60%
2000,Alaska,94,Priv. Construction,112,"15,228","3,154","3,732",20.70%,24.50%
2000,Alaska,94,Priv. Manufacturing,73,"9,145","1,082","1,082",11.80%,11.80%
2000,Alaska,94,Private,1338,"181,999","23,322","26,742",12.80%,14.70%
2000,Alaska,94,Public,591,"77,400","33,526","37,531",43.30%,48.50%
2000,Alaska,94,Total,1929,"259,398","56,848","64,273",21.90%,24.80%
2001,Alaska,94,Priv. Construction,132,"15,905","4,254","4,678",26.70%,29.40%
2001,Alaska,94,Priv. Manufacturing,79,"9,359",886,967,9.50%,10.30%
2001,Alaska,94,Private,1610,"191,485","23,598","26,673",12.30%,13.90%
2001,Alaska,94,Public,700,"77,522","35,497","39,975",45.80%,51.60%
2001,Alaska,94,Total,2310,"269,007","59,095","66,648",22.00%,24.80%
2002,Alaska,94,Priv. Construction,189,"18,582","6,100","6,344",32.80%,34.10%
2002,Alaska,94,Priv. Manufacturing,83,"8,442",669,739,7.90%,8.80%
2002,Alaska,94,Private,1785,"180,297","22,837","25,028",12.70%,13.90%
2002,Alaska,94,Public,832,"79,949","40,748","44,838",51.00%,56.10%
2002,Alaska,94,Total,2617,"260,246","63,584","69,866",24.40%,26.80%
2003,Alaska,94,Priv. Construction,161,"16,722","5,643","5,972",33.70%,35.70%
2003,Alaska,94,Priv. Manufacturing,70,"7,499",472,472,6.30%,6.30%
2003,Alaska,94,Private,1729,"180,406","20,574","22,728",11.40%,12.60%
2003,Alaska,94,Public,821,"84,380","38,521","42,305",45.70%,50.10%
2003,Alaska,94,Total,2550,"264,787","59,096","65,033",22.30%,24.60%
2004,Alaska,94,Priv. Construction,151,"15,951","3,405","3,641",21.30%,22.80%
2004,Alaska,94,Priv. Manufacturing,83,"8,901",730,730,8.20%,8.20%
2004,Alaska,94,Private,1784,"187,968","20,436","22,163",10.90%,11.80%
2004,Alaska,94,Public,788,"79,839","33,513","37,862",42.00%,47.40%
2004,Alaska,94,Total,2572,"267,807","53,949","60,024",20.10%,22.40%
2005,Alaska,94,Priv. Construction,177,"20,827","6,255","6,384",30.00%,30.70%
2005,Alaska,94,Priv. Manufacturing,54,"6,361",492,492,7.70%,7.70%
2005,Alaska,94,Private,1712,"199,613","26,056","26,929",13.10%,13.50%
2005,Alaska,94,Public,655,"75,375","36,546","39,306",48.50%,52.10%
2005,Alaska,94,Total,2367,"274,989","62,602","66,235",22.80%,24.10%
2006,Alaska,94,Priv. Construction,167,"20,300","6,596","6,866",32.50%,33.80%
2006,Alaska,94,Priv. Manufacturing,51,"6,467",345,345,5.30%,5.30%
2006,Alaska,94,Private,1700,"204,482","25,076","26,502",12.30%,13.00%
2006,Alaska,94,Public,638,"75,096","36,979","40,050",49.20%,53.30%
2006,Alaska,94,Total,2338,"279,578","62,055","66,552",22.20%,23.80%
2007,Alaska,94,Priv. Construction,156,"19,286","5,866","5,866",30.40%,30.40%
2007,Alaska,94,Priv. Manufacturing,36,"4,576",648,784,14.20%,17.10%
2007,Alaska,94,Private,1696,"205,957","26,783","28,042",13.00%,13.60%
2007,Alaska,94,Public,659,"77,855","40,728","41,955",52.30%,53.90%
2007,Alaska,94,Total,2355,"283,812","67,511","69,997",23.80%,24.70%
