"","State","Year","Chamber","CI","EI","Renewables","NatGas","FarmWages","MiningWages","Population","IncomePC","ManuUnion","CI_Lag1","EI_Lag1"
"CA-2008","CA","2008",8.768,53.9,3.92,1.08424896448909,1.30621499740302,0.00550942736835933,0.00367515726780266,36604,43391,1.094,54.2,4.05
"CA-2009","CA","2009",8.746,53.6,3.89,1.09338434164846,1.30777113182475,0.00630368650586894,0.00342774025034569,36961,41660,1.081,53.9,3.92
"CA-2010","CA","2010",8.717,52.3,3.76,1.10935171047399,1.30407001292036,0.00629118934376383,0.00392775298236387,37320,43138,1.084,53.6,3.89
"CA-2011","CA","2011",8.624,50.5,3.71,1.12462583757296,1.28703837181659,0.00501067034040263,0.00401813514101298,37636,45509,1.064,52.3,3.76
"CA-2012","CA","2012",8.6285,52.7,3.52,1.10989846117449,1.32981636058307,0.00547662875532137,0.00420071788016918,37945,47794,1.051,50.5,3.71
"CA-2013","CA","2013",8.6455,51.9,3.47,1.11865280582592,1.32802173878263,0.00588850742154138,0.0040562739393121,38254,48076,1.083,52.7,3.52
"CA-2014","CA","2014",8.7315,51.9,3.31,1.12086087622437,1.32225938147893,0.00517803803062485,0.00400185639610549,38587,50619,1.068,51.9,3.47
"CA-2015","CA","2015",8.754,51.9,3.21,1.1203006347373,1.31477564491047,0.00480758700457632,0.00338637270794262,38904,53817,1.052,51.9,3.31
"CA-2016","CA","2016",8.753,50.8,3.17,1.14490133600769,1.29192695579166,0.00447749212108409,0.00267248097594422,39149,55863,1.043,51.9,3.21
"CA-2017","CA","2017",8.7575,49.7,3.08,1.16795273429995,1.2798827733789,0.00540260111293598,0.00204518771220387,39338,58214,1.062,50.8,3.17
"CA-2018","CA","2018",8.724,50.8,3,1.15316622832777,1.27881268093702,0.00419535396304291,0.0020121295779416,39437,60984,1.076,49.7,3.08
"CA-2019","CA","2019",8.7735,49.7,2.89,1.17388827324461,1.28089905137326,0.00505805650468246,0.0019133990572331,39438,64174,1.072,50.8,3
"CA-2020","CA","2020",8.7455,48.3,2.64,1.17651548601357,1.30500259336173,0.00519592878225897,0.0015183926300636,39502,70061,1.061,49.7,2.89
"CO-1998","CO","1998",10.349,69.5,5.9,1.02650617664313,1.27761932295382,0.00429220115373036,0.0109210625182613,4117,29776,1.086,NA,NA
"CO-1999","CO","1999",10.433,70.56,5.6,1.02685949899303,1.2743540910263,0.0038608549856985,0.0105101762813915,4226,31167,1.066,69.5,5.9
"CO-2000","CO","2000",10.4045,69.83,5.48,1.02522303376366,1.28857155919479,0.0039391979076859,0.00894164549857369,4327,33872,1.135,70.56,5.6
"CO-2001","CO","2001",10.1645,69.22,5.83,1.02224376527064,1.33876427419596,0.00391328892854986,0.0109426033491998,4426,34812,1.093,69.83,5.48
"CO-2002","CO","2002",9.989,69.9,5.82,1.01973244025143,1.33396301444326,0.00456902857525055,0.00952095763844685,4490,34405,1.105,69.22,5.83
"CO-2003","CO","2003",10.176,69.1,5.77,1.02098438742336,1.31838272858254,0.00385960631065508,0.00980741071391557,4529,34757,1.085,69.9,5.82
"CO-2004","CO","2004",10.4245,69.2,5.81,1.02079150477078,1.31489851825071,0.00386125702511119,0.0128420663150549,4575,35753,1.096,69.1,5.77
"CO-2005","CO","2005",9.4285,68.9,5.71,1.02476696085472,1.333300132409,0.00408828022219144,0.0142691016853275,4632,37619,1.087,69.2,5.81
"CO-2006","CO","2006",9.3365,68.9,5.64,1.02909663923447,1.31619900560587,0.00358231915093397,0.0164524149555809,4720,39869,1.088,68.9,5.71
"CO-2007","CO","2007",9.188,67.8,5.56,1.03411133358089,1.34561582157729,0.00380488321013257,0.0193881578519978,4804,41760,1.151,68.9,5.64
"CO-2008","CO","2008",9.181,66.8,5.49,1.05199608185613,1.34185670807341,0.00337034294932388,0.0238176094132124,4890,42961,1.107,67.8,5.56
"CO-2009","CO","2009",9.151,65.7,5.53,1.05345888117131,1.3591365957473,0.00396316455626836,0.0194497619049422,4972,40258,1.074,66.8,5.49
"CO-2010","CO","2010",9.151,66,5.66,1.05429780106369,1.33343642736322,0.00343629699803975,0.0212048481324845,5048,40827,1.051,65.7,5.53
"CO-2011","CO","2011",9.7425,65.3,5.44,1.0729509972513,1.32307963115919,0.00331184514281615,0.0246678335548923,5122,43732,1.082,66,5.66
"CO-2012","CO","2012",9.7425,65.5,5.22,1.0749985983317,1.31596095263607,0.00363642722705657,0.0252462857896778,5194,45490,1.066,65.3,5.44
"CO-2013","CO","2013",9.0385,64.4,5.15,1.08332322397835,1.32589962528744,0.00391311622116772,0.0257110908673006,5271,47082,1.062,65.5,5.22
"CO-2014","CO","2014",9.076,63.6,4.99,1.08793621361521,1.33329244118737,0.00353199232942045,0.0276417694271156,5353,50244,1.12,64.4,5.15
"CO-2015","CO","2015",9.733,63.2,4.8,1.08921167502291,1.32742624030602,0.00281178705346259,0.0240035101509424,5454,51394,1.072,63.6,4.99
"CO-2016","CO","2016",9.733,62,4.6,1.1082622771637,1.31669416238899,0.00312476849067826,0.0179830007900002,5544,51306,1.121,63.2,4.8
"CO-2017","CO","2017",9.8115,62.1,4.47,1.10989804008809,1.31343872740357,0.00312188322738186,0.0188939938231282,5617,54171,1.114,62,4.6
"CO-2018","CO","2018",9.812,60.8,4.45,1.10882469435023,1.33974142069107,0.00293212258901031,0.0201994642236686,5697,57794,1.043,62.1,4.47
"CO-2019","CO","2019",8.8515,59.9,4.37,1.11371191100346,1.35376968006009,0.00198481994732843,0.0198025997618168,5758,61258,1.026,60.8,4.45
"CO-2020","CO","2020",8.8215,57,4.1,1.13396756189937,1.38100004829152,0.00285485779843949,0.0161454530826532,5785,64852,1.035,59.9,4.37
"CT-1998","CT","1998",9.1025,59.2,4.03,1.0625299403279,1.17049839665199,0.00152915505480162,0.000508098159251304,3365,37638,1.165,NA,NA
"CT-1999","CT","1999",9.093,51.32,4.12,1.05944499782444,1.18683467043524,0.00133881483244621,0.000544353889837802,3386,39479,1.151,59.2,4.03
"CT-2000","CT","2000",9.093,49.96,3.91,1.06028417500444,1.19382629802854,0.0014652925859226,0.000488413810800802,3412,42857,1.154,51.32,4.12
"CT-2001","CT","2001",9.031,51.84,3.8,1.03608459418551,1.18012024579833,0.0014859774739017,0.000454084794604375,3433,45032,1.123,49.96,3.91
"CT-2002","CT","2002",9.0305,51.1,3.76,1.03509710214616,1.22284059350559,0.00191628833052776,0.000470564656538545,3459,44656,1.116,51.84,3.8
"CT-2003","CT","2003",8.9795,51.4,4.08,1.03686881731972,1.17583159740276,0.00167014498904733,0.000483614935606257,3484,44898,1.103,51.1,3.76
"CT-2004","CT","2004",8.979,50.8,3.89,1.04736528206954,1.18284884009353,0.00152111521635022,0.000459485502089046,3496,47098,1.1,51.4,4.08
"CT-2005","CT","2005",8.949,51.5,3.67,1.03331091366066,1.19543940464921,0.00116077173918943,0.000451898482359962,3507,49424,1.11,50.8,3.89
"CT-2006","CT","2006",8.9525,49.5,3.3,1.0435341604527,1.21452976544079,0.00122029020342406,0.000479041599141895,3517,53224,1.117,51.5,3.67
"CT-2007","CT","2007",8.9465,49.3,3.26,1.0429523618396,1.21802619344772,0.00131487881369109,0.000433297212817441,3527,57112,1.102,49.5,3.3
"CT-2008","CT","2008",8.946,49.6,3.01,1.04706120810187,1.21921617584597,0.00119757399604931,0.000465419572001895,3546,60543,1.08,49.3,3.26
"CT-2009","CT","2009",8.926,46.2,3.13,1.05437886658488,1.24611710042027,0.00122309897630227,0.000421636360838373,3562,59586,1.102,49.6,3.01
"CT-2010","CT","2010",8.926,46.2,3.15,1.05655224384793,1.26481043577684,0.00114844608584792,0.000397000147881763,3579,61392,1.113,46.2,3.13
"CT-2011","CT","2011",8.9535,45.1,3.12,1.05834677848005,1.3175916344499,0.000962026363053443,0.000367562958568215,3589,62964,1.134,46.2,3.15
"CT-2012","CT","2012",8.9535,44.8,3.02,1.05354951905044,1.32460832253641,0.00140149501820015,0.000342830711403515,3595,63555,1.096,45.1,3.12
"CT-2013","CT","2013",8.9625,44.5,3.17,1.05748871025165,1.32136231860781,0.00141203700740327,0.000333500752247176,3596,61999,1.099,44.8,3.02
"CT-2014","CT","2014",8.9645,45.2,3.19,1.06048578041448,1.32220463433451,0.0014487262991149,0.000352523307708077,3596,64482,1.092,44.5,3.17
"CT-2015","CT","2015",8.992,44.7,3.12,1.06176996223584,1.34465245480255,0.00114148037257934,0.000350990644087496,3589,66220,1.079,45.2,3.19
"CT-2016","CT","2016",8.9915,43.9,2.98,1.0659997931819,1.35111095791252,0.00128549408039746,0.000352420255455635,3580,67550,1.101,44.7,3.12
"CT-2017","CT","2017",9.3065,44,2.95,1.06412320520029,1.33809020968472,0.00105623608363199,0.000359394004486971,3575,69146,1.129,43.9,2.98
"CT-2018","CT","2018",9.3,44.8,3.04,1.06555035881324,1.37817341780354,0.000975298385835131,0.000338032420298963,3575,72157,1.139,44,2.95
"CT-2019","CT","2019",8.9395,44.5,2.92,1.06644437856787,1.39863499514538,0.00076274638851778,0.000334767335454713,3566,74173,1.079,44.8,3.04
"CT-2020","CT","2020",8.9425,43.8,2.83,1.0701567304087,1.44631721034871,0.000816849978152793,NA,3597,77383,1.139,44.5,2.92
"DE-1998","DE","1998",9.8115,72.9,5.41,1.00709440765727,1.15508756243335,0.0022137124363179,NA,763,29444,1.2,NA,NA
"DE-1999","DE","1999",9.777,70.65,5.28,1.00699107685643,1.2029508563283,0.00184576084907708,NA,775,31119,1.228,72.9,5.41
"DE-2000","DE","2000",9.777,71.45,5.41,1.00749112677669,1.1641341860351,0.00197353150490304,NA,786,33810,1.198,70.65,5.28
"DE-2001","DE","2001",9.8125,69.56,5,1.00453718954495,1.17743664200034,0.0018965376298646,NA,796,36917,1.168,71.45,5.41
"DE-2002","DE","2002",9.8125,69.1,5.46,1.0042612761793,1.17428133496223,0.00227081924378003,0.000193825649287544,806,37660,1.179,69.56,5
"DE-2003","DE","2003",9.829,71.3,5.3,1.0046126190194,1.1579385774301,0.0019618923768321,NA,818,37985,1.129,69.1,5.46
"DE-2004","DE","2004",9.829,71.6,4.81,1.00496555921326,1.17193421671416,0.00179202271519279,0.00017164489417062,831,38843,1.164,71.3,5.3
"DE-2005","DE","2005",9.822,71.7,5.05,1.00629033602935,1.16222463103477,0.00135320164428812,NA,845,39133,1.163,71.6,4.81
"DE-2006","DE","2006",9.822,71.3,4.75,1.0125740493025,1.15561037471987,0.00144008405023773,0.0000289589284747186,859,40736,1.129,71.7,5.05
"DE-2007","DE","2007",9.749,71.7,4.86,1.01692757096847,1.16999748061092,0.00162701820348715,0.0000131510872184869,872,41539,1.116,71.3,4.75
"DE-2008","DE","2008",9.749,70.6,4.97,1.01985228282385,1.17066376675369,0.00148582018766575,NA,884,41254,1.157,71.7,4.86
"DE-2009","DE","2009",9.417,66.9,4.22,1.02558774317416,1.19913101140403,0.00150337951926245,NA,892,41056,1.106,70.6,4.97
"DE-2010","DE","2010",9.412,67.1,4.4,1.02910321107807,1.21058994923553,0.00141791753520072,NA,900,41101,1.084,66.9,4.22
"DE-2011","DE","2011",9.3715,62.4,4.54,1.02746960273435,1.28614753179806,0.0011807091700089,NA,908,43781,1.074,67.1,4.4
"DE-2012","DE","2012",9.3715,61.3,4.54,1.02510929742661,1.3684567097505,0.00188384838047583,NA,916,43775,1.065,62.4,4.54
"DE-2013","DE","2013",9.326,61.6,4.66,1.0271351235843,1.35857967091673,0.00187245157773661,NA,924,43948,1.093,61.3,4.54
"DE-2014","DE","2014",9.326,60.3,4.33,1.0287097692965,1.38112717174594,0.00189947976293524,NA,933,45364,1.09,61.6,4.66
"DE-2015","DE","2015",9.316,60,4.26,1.0272089722148,1.37882801849535,0.00148834356805167,NA,942,47244,1.083,60.3,4.33
"DE-2016","DE","2016",9.316,60.2,4.46,1.02704761904762,1.40427948375612,0.00167772235615691,NA,950,48192,1.087,60,4.26
"DE-2017","DE","2017",9.3345,60.2,4.64,1.02825704193914,1.36828797040011,0.00149642122255112,NA,958,50002,1.109,60.2,4.46
