"State","Year","Ideology","CarbonIntensity","EnergyIntensity","RealGDP","Population","PercentUrban","GDPPerCapita","FarmProportion","PopDens","Weighted_GHI","Weighted_Speed120m"
"AK","2016",0.4165,56.3,10.94,50727.7,743,64.9,68.2741588156124,0.000805006490203382,0.00131171967685441,NA,NA
"AK","2017",0.316,56.1,11.08,53301.5,741,64.9,71.9318488529015,0.00099632123020227,0.00130818880289249,NA,NA
"AK","2018",0.2785,57.1,11.33,54899.6,737,64.9,74.4906377204885,0.000898810088506666,0.00130112705496865,NA,NA
"AK","2019",0.4225,56.6,11.33,54728.2,734,64.9,74.5615803814714,0.000870793497300124,0.00129583074402576,NA,NA
"AK","2020",0.4225,56.2,12.62,50475.2,733,64.9,68.8611186903138,0.000956660544292845,0.0012940653070448,NA,NA
"AL","1998",0.011,57.2,13.36,110212,4405,59,25.0197502837684,0.00240426290961032,0.0868699219058137,0.366540782741419,1.51264832787515
"AL","1999",0.0765,57.43,13.17,115680.1,4430,59,26.1128893905192,0.00212553222107028,0.0873629407588546,0.366540782741419,1.51264832787515
"AL","2000",0.0355,58.73,13.32,119851.7,4452,59,26.9208670260557,0.00224508465491006,0.0877967973495307,0.366540782741419,1.51264832787515
"AL","2001",0.0355,58.19,12.11,122915.5,4468,59,27.5101835273053,0.00287047022300185,0.0881123294154769,0.366540782741419,1.51264832787515
"AL","2002",0.0355,58,12.22,127505,4480,59,28.4609375,0.00269177677707754,0.0883489784649365,0.366540782741419,1.51264832787515
"AL","2003",-0.0215,58,11.83,134152.6,4503,59,29.7918276704419,0.00216835975660513,0.0888025558097342,0.366540782741419,1.51264832787515
"AL","2004",-0.005,57.3,11.7,147715.2,4531,59,32.6010152284264,0.00272976031513405,0.08935473692514,0.366540782741419,1.51264832787515
"AL","2005",-0.004,58.1,11.2,158846.8,4570,59,34.7585995623632,0.00230080752704329,0.0901238463358839,0.366540782741419,1.51264832787515
"AL","2006",-0.004,58.3,11.13,166469,4629,59,35.9621948585008,0.00225115663359362,0.0912873708290605,0.366540782741419,1.51264832787515
"AL","2007",-0.0315,58.7,11.04,172975.2,4673,59,37.0158784506741,0.00241290837452796,0.0921550840104126,0.366540782741419,1.51264832787515
"AL","2008",-0.0495,56.4,10.71,174526.3,4718,59,36.9915854175498,0.00213382692654949,0.0930425179458862,0.366540782741419,1.51264832787515
"AL","2009",0.0855,52,9.96,170930.9,4758,59,35.9249474569147,0.00223172047835009,0.0938313481107517,0.366540782741419,1.51264832787515
"AL","2010",0.026,54.1,10.51,177249.2,4786,59,37.0349352277476,0.00226397932423945,0.0943835292261576,0.366540782741419,1.51264832787515
"AL","2011",0.868,52.4,10.22,183916.6,4800,57.7,38.3159583333333,0.00189671179490435,0.0946596197838605,0.366540782741419,1.51264832787515
"AL","2012",0.8745,50.4,9.99,189245.5,4817,57.7,39.2870043595599,0.00247776996538734,0.0949948726039284,0.366540782741419,1.51264832787515
"AL","2013",0.883,49.2,10.1,194786.9,4832,57.7,40.3118584437086,0.00178313369137701,0.0952906839157529,0.366540782741419,1.51264832787515
"AL","2014",0.879,50.2,10.36,197406.9,4844,57.7,40.7528695293146,0.00146406832652339,0.0955273329652126,0.366540782741419,1.51264832787515
"AL","2015",0.9125,49,10.02,202372.4,4855,57.7,41.6832955715757,0.00192764954979825,0.0957442612605506,0.366540782741419,1.51264832787515
"AL","2016",0.9125,48.7,9.9,207368.4,4867,57.7,42.6070269159647,0.00152570043048274,0.0959809103100103,0.366540782741419,1.51264832787515
"AL","2017",0.9125,46.8,9.67,214606.3,4878,57.7,43.9947314473145,0.00148956153598555,0.0961978386053483,0.366540782741419,1.51264832787515
"AL","2018",0.9135,47.2,9.77,223859.3,4892,57.7,45.7602820932134,0.00143635168994979,0.0964739291630512,0.366540782741419,1.51264832787515
"AL","2019",0.8885,45.2,9.47,231561.9,4908,57.7,47.1805012224939,0.00102781060232798,0.0967894612289974,0.366540782741419,1.51264832787515
"AL","2020",0.8885,43.5,9.21,230892.1,5031,57.7,45.8938779566687,0.00101994760878595,0.0992151139859588,0.366540782741419,1.51264832787515
"AR","1998",-0.019,55,12.79,62396.7,2626,56.2,23.7611195734958,0.00832906125698942,0.0505534700163635,0.968837728607814,0.310421451047068
"AR","1999",-0.0265,55.95,12.35,66811.3,2652,56.2,25.1927978883861,0.00803026514525372,0.0510539994224661,0.968837728607814,0.310421451047068
"AR","2000",-0.0265,56.99,12.7,68678.5,2679,56.2,25.6358715938783,0.00754191450015004,0.0515737799595726,0.968837728607814,0.310421451047068
"AR","2001",0.052,56.44,12.21,70616.7,2692,56.2,26.2320579494799,0.00786399442728592,0.0518240446626239,0.968837728607814,0.310421451047068
"AR","2002",0.052,54.6,12.03,74113.9,2706,56.2,27.3887287509239,0.00751328794403928,0.0520935604966792,0.968837728607814,0.310421451047068
"AR","2003",0.0575,55.2,11.35,78695.1,2725,56.2,28.8789357798165,0.00735531382106598,0.0524593319857542,0.968837728607814,0.310421451047068
"AR","2004",0.0575,55.6,10.73,85199.6,2750,56.2,30.9816727272727,0.00752627885785024,0.0529406102608528,0.968837728607814,0.310421451047068
"AR","2005",0.142,55.9,10.54,90887.7,2781,56.2,32.6816612729234,0.00592385912872954,0.0535373953219752,0.968837728607814,0.310421451047068
"AR","2006",0.142,55.6,10.26,95875.1,2822,56.2,33.9741672572644,0.00542216462434015,0.054326691693137,0.968837728607814,0.310421451047068
"AR","2007",0.0915,55.2,10.49,98381.6,2849,56.2,34.5319761319761,0.00540768163149058,0.0548464722302435,0.968837728607814,0.310421451047068
"AR","2008",0.0915,56,10.42,99706.8,2875,56.2,34.6806260869565,0.00581913125820648,0.0553470016363461,0.968837728607814,0.310421451047068
"AR","2009",0.0865,54.1,10.11,97508.1,2897,56.2,33.6583016914049,0.00501446364120265,0.055770526518433,0.968837728607814,0.310421451047068
"AR","2010",0.092,54.8,10.69,101486.5,2922,56.2,34.7318617385353,0.00532690137700729,0.0562518047935316,0.968837728607814,0.310421451047068
"AR","2011",0.253,55.5,10.48,105768.1,2941,55.5,35.9633117987079,0.00450001284322992,0.0566175762826066,0.968837728607814,0.310421451047068
"AR","2012",0.253,54.9,9.91,108492.1,2953,55.5,36.7396207246868,0.0055189160589461,0.056848589854654,0.968837728607814,0.310421451047068
"AR","2013",0.7145,57.4,9.99,113227.3,2960,55.5,38.2524662162162,0.00588235740125105,0.0569833477716816,0.968837728607814,0.310421451047068
"AR","2014",0.7375,56.5,10.04,116139.4,2969,55.5,39.117345907713,0.00483579136727355,0.0571566079507171,0.968837728607814,0.310421451047068
"AR","2015",0.9715,53.1,9.46,117786.8,2980,55.5,39.5257718120805,0.00543007433973139,0.0573683703917605,0.968837728607814,0.310421451047068
"AR","2016",0.9715,53.9,9.35,119152.4,2992,55.5,39.8236631016043,0.00553022015218593,0.0575993839638079,0.968837728607814,0.310421451047068
"AR","2017",1.029,55.3,9.29,122466.7,3004,55.5,40.7678761651132,0.00430550975101562,0.0578303975358552,0.968837728607814,0.310421451047068
"AR","2018",1.032,56.4,9.64,127535.7,3012,55.5,42.3425298804781,0.00433803866740841,0.0579844065838868,0.968837728607814,0.310421451047068
"AR","2019",1.0285,53.5,9.37,131578.3,3021,55.5,43.5545514730222,0.00499686622935828,0.0581576667629223,0.968837728607814,0.310421451047068
"AR","2020",1.0285,50.3,8.83,133969.1,3014,55.5,44.4489382879894,0.00411846946792496,0.0580229088458947,0.968837728607814,0.310421451047068
"AZ","1998",0.2885,52.5,6.78,143302.6,4883,89.8,29.347245545771,0.00455482144616491,0.0430535104966628,1.02679018107386,1.19515611080474
"AZ","1999",0.243,53.76,6.47,155755.8,5024,89.8,31.0023487261146,0.00412065572885745,0.0442967103696977,1.02679018107386,1.19515611080474
"AZ","2000",0.243,55.44,6.39,165110.7,5161,89.8,31.9919976748692,0.00424838262961429,0.045504642161228,1.02679018107386,1.19515611080474
"AZ","2001",-0.0765,56.41,6.29,171909.6,5273,89.8,32.6018585245591,0.0041498412150755,0.046492148443355,1.02679018107386,1.19515611080474
"AZ","2002",0.0265,55.2,6.05,180522.3,5396,89.8,33.4548369162342,0.00463793075688417,0.0475766419496195,1.02679018107386,1.19515611080474
"AZ","2003",0.3025,56.5,5.79,193634.9,5510,89.8,35.1424500907441,0.00381990572177618,0.0485817822724988,1.02679018107386,1.19515611080474
"AZ","2004",0.3455,56.7,5.75,206541.1,5652,89.8,36.5430113234253,0.0037228496075795,0.0498337991659099,1.02679018107386,1.19515611080474
"AZ","2005",0.5775,57.5,5.5,227915.9,5839,89.8,39.033379003254,0.00382342712953058,0.0514825819762469,1.02679018107386,1.19515611080474
"AZ","2006",0.5835,58.2,5.44,245957,6029,89.8,40.7956543373694,0.00327813934457901,0.0531578158477124,1.02679018107386,1.19515611080474
"AZ","2007",0.425,57.2,5.29,261392,6168,89.8,42.378728923476,0.00355564073957252,0.0543833816799951,1.02679018107386,1.19515611080474
"AZ","2008",0.485,56.1,5.22,262926,6280,89.8,41.8671974522293,0.00326854229749452,0.0553708879621221,1.02679018107386,1.19515611080474
"AZ","2009",0.6115,55.1,5.36,246424.3,6343,89.8,38.8498029323664,0.00395130777191309,0.0559263602458185,1.02679018107386,1.19515611080474
"AZ","2010",0.622,56.2,5.51,251153,6407,89.8,39.1997814889964,0.0034855563534601,0.0564906495498911,1.02679018107386,1.19515611080474
"AZ","2011",0.836,55.4,5.54,260915.7,6473,89.3,40.3083114475514,0.00336574830245569,0.057072572894716,1.02679018107386,1.19515611080474
"AZ","2012",0.7865,54.6,5.32,271440,6556,89.3,41.4032946918853,0.00372436128254896,0.0578043855859351,1.02679018107386,1.19515611080474
"AZ","2013",0.707,55.6,5.34,278591.6,6635,89.3,41.9881838733986,0.00403075474401712,0.0585009301956497,1.02679018107386,1.19515611080474
"AZ","2014",0.695,54.5,5.31,287666.6,6733,89.3,42.7248774691816,0.0037371282699021,0.0593649981925108,1.02679018107386,1.19515611080474
"AZ","2015",0.8045,52.8,5.28,299393.3,6833,89.3,43.8157910141958,0.00299672507327767,0.0602467002301242,1.02679018107386,1.19515611080474
"AZ","2016",0.7725,51.2,5.23,313081.4,6945,89.3,45.0801151907847,0.0033045782064375,0.0612342065122512,1.02679018107386,1.19515611080474
"AZ","2017",0.8305,51.3,5.04,332001.8,7048,89.3,47.1058172531215,0.00314566414481082,0.0621423596109931,1.02679018107386,1.19515611080474
"AZ","2018",0.8305,51.5,4.89,351879.5,7164,89.3,49.1177414852038,0.00294674432368614,0.0631651339746246,1.02679018107386,1.19515611080474
"AZ","2019",0.791,49.8,4.78,372393.5,7292,89.3,51.0687739989029,0.00199978042317836,0.0642937125827698,1.02679018107386,1.19515611080474
"AZ","2020",0.7755,46.6,4.6,382072.3,7180,89.3,53.2134122562674,0.00280698511601036,0.0633062063006428,1.02679018107386,1.19515611080474
"CA","1998",-0.826,51.8,5.32,1147520.4,32988,95,34.785994907239,0.00737970920477793,0.21097332455024,8.52258487620458,4.5134747254523
"CA","1999",-0.988,52.4,4.96,1241899.7,33499,95,37.0727394847607,0.00759641147569748,0.214241402907375,8.52258487620458,4.5134747254523
"CA","2000",-0.988,52.96,4.65,1356975.4,33988,95,39.9251323996705,0.00688598394183555,0.217368781217823,8.52258487620458,4.5134747254523
"CA","2001",-1.132,54,4.68,1375761.3,34479,95,39.9014269555382,0.0067626309254081,0.220508950441606,8.52258487620458,4.5134747254523
"CA","2002",-1.132,53.8,4.62,1418429.6,34872,95,40.675315439321,0.00633425710147757,0.223022364911967,8.52258487620458,4.5134747254523
"CA","2003",-1.1885,53.1,4.38,1497918.7,35253,95,42.4905313023005,0.00607303294633259,0.225459033902316,8.52258487620458,4.5134747254523
"CA","2004",-1.1885,53.9,4.44,1588177.4,35575,95,44.6430751932537,0.00625519783089208,0.227518370949278,8.52258487620458,4.5134747254523
"CA","2005",-1.1925,53.2,4.23,1698560.4,35828,95,47.4087417662164,0.00648050945456212,0.229136421486176,8.52258487620458,4.5134747254523
"CA","2006",-1.1925,53.3,4.12,1812210,36021,95,50.3098192720913,0.0059040823133025,0.23037074462302,8.52258487620458,4.5134747254523
"CA","2007",-1.232,54.2,4.05,1898902,36250,95,52.3835034482759,0.0051674740774899,0.231835304199896,8.52258487620458,4.5134747254523
"CA","2008",-1.232,53.9,3.92,1944695.3,36604,95,53.1279450333297,0.00550942736835933,0.234099295860221,8.52258487620458,4.5134747254523
"CA","2009",-1.254,53.6,3.89,1890165.9,36961,95,51.1394686290955,0.00630368650586894,0.236382473890548,8.52258487620458,4.5134747254523
"CA","2010",-1.283,52.3,3.76,1954092.7,37320,95,52.3604689174705,0.00629118934376383,0.238678442834211,8.52258487620458,4.5134747254523
"CA","2011",-1.376,50.5,3.71,2023500,37636,94.2,53.7650122223403,0.00501067034040263,0.240699407141167,8.52258487620458,4.5134747254523
"CA","2012",-1.3715,52.7,3.52,2113096.4,37945,94.2,55.6884016339439,0.00547662875532137,0.24267560325145,8.52258487620458,4.5134747254523
"CA","2013",-1.3545,51.9,3.47,2220389.9,38254,94.2,58.0433392586396,0.00588850742154138,0.244651799361733,8.52258487620458,4.5134747254523
"CA","2014",-1.2685,51.9,3.31,2335286.5,38587,94.2,60.5200326534843,0.00517803803062485,0.246781486432039,8.52258487620458,4.5134747254523
"CA","2015",-1.246,51.9,3.21,2473555.9,38904,94.2,63.5810173761053,0.00480758700457632,0.248808846195663,8.52258487620458,4.5134747254523
"CA","2016",-1.247,50.8,3.17,2569634,39149,94.2,65.6372832000817,0.00447749212108409,0.25037573307922,8.52258487620458,4.5134747254523
"CA","2017",-1.2425,49.7,3.08,2728743.1,39338,94.2,69.3665946413137,0.00540260111293598,0.251584474389394,8.52258487620458,4.5134747254523
"CA","2018",-1.276,50.8,3,2897200.7,39437,94.2,73.4640236326293,0.00419535396304291,0.252217624599485,8.52258487620458,4.5134747254523
"CA","2019",-1.2265,49.7,2.89,3042694.1,39438,94.2,77.1513286677823,0.00505805650468246,0.252224020056152,8.52258487620458,4.5134747254523
"CA","2020",-1.2545,48.3,2.64,3020173.4,39502,94.2,76.4562148751962,0.00519592878225897,0.252633329282877,8.52258487620458,4.5134747254523
"CO","1998",0.349,69.5,5.9,150330,4117,86.2,36.5144522710712,0.00429220115373036,0.0396758090318601,4.83251670786059,3.7470475573412
"CO","1999",0.433,70.56,5.6,163763.3,4226,86.2,38.7513724562234,0.0038608549856985,0.0407262494458686,4.83251670786059,3.7470475573412
"CO","2000",0.4045,69.83,5.48,180063.2,4327,86.2,41.6138664201525,0.0039391979076859,0.0416995933157296,4.83251670786059,3.7470475573412
"CO","2001",0.1645,69.22,5.83,186695.8,4426,86.2,42.1816086760054,0.00391328892854986,0.0426536630495538,4.83251670786059,3.7470475573412
"CO","2002",-0.011,69.9,5.82,190019,4490,86.2,42.3204899777283,0.00456902857525055,0.0432704354027331,4.83251670786059,3.7470475573412
"CO","2003",0.176,69.1,5.77,196126.5,4529,86.2,43.3045926253036,0.00385960631065508,0.0436462810554517,4.83251670786059,3.7470475573412
"CO","2004",0.4245,69.2,5.81,204167.2,4575,86.2,44.6267103825137,0.00386125702511119,0.0440895861842993,4.83251670786059,3.7470475573412
"CO","2005",-0.5715,68.9,5.71,220783.7,4632,86.2,47.6648747841105,0.00408828022219144,0.0446388990613496,4.83251670786059,3.7470475573412
"CO","2006",-0.6635,68.9,5.64,232646.7,4720,86.2,49.2895550847458,0.00358231915093397,0.0454869610469711,4.83251670786059,3.7470475573412
"CO","2007",-0.812,67.8,5.56,248446.5,4804,86.2,51.7165903413822,0.00380488321013257,0.0462964747605189,4.83251670786059,3.7470475573412
"CO","2008",-0.819,66.8,5.49,258871.7,4890,86.2,52.9389979550102,0.00337034294932388,0.0471252626101035,4.83251670786059,3.7470475573412
"CO","2009",-0.849,65.7,5.53,251227.7,4972,86.2,50.5284995977474,0.00396316455626836,0.0479155021876144,4.83251670786059,3.7470475573412
"CO","2010",-0.849,66,5.66,258300.2,5048,86.2,51.1688193343899,0.00343629699803975,0.0486479193570148,4.83251670786059,3.7470475573412
"CO","2011",-0.2575,65.3,5.44,267516.1,5122,86,52.2288363920344,0.00331184514281615,0.0493610623903784,4.83251670786059,3.7470475573412
"CO","2012",-0.2575,65.5,5.22,276823.1,5194,86,53.2967077396996,0.00363642722705657,0.050054931287705,4.83251670786059,3.7470475573412
"CO","2013",-0.9615,64.4,5.15,292140.5,5271,86,55.4241130715234,0.00391311622116772,0.0507969855251238,4.83251670786059,3.7470475573412
"CO","2014",-0.924,63.6,4.99,309542.6,5353,86,57.826004109845,0.00353199232942045,0.0515872251026348,4.83251670786059,3.7470475573412
"CO","2015",-0.267,63.2,4.8,320721.1,5454,86,58.8047488082141,0.00281178705346259,0.0525605689724958,4.83251670786059,3.7470475573412
"CO","2016",-0.267,62,4.6,329911.7,5544,86,59.5078823953824,0.00312476849067826,0.0534279050941542,4.83251670786059,3.7470475573412
"CO","2017",-0.1885,62.1,4.47,349156.5,5617,86,62.1606729570945,0.00312188322738186,0.0541314110594993,4.83251670786059,3.7470475573412
"CO","2018",-0.188,60.8,4.45,372212.1,5697,86,65.3347551342812,0.00293212258901031,0.0549023765009733,4.83251670786059,3.7470475573412
"CO","2019",-1.1485,59.9,4.37,394534.7,5758,86,68.5193990969087,0.00198481994732843,0.0554902376500973,4.83251670786059,3.7470475573412
"CO","2020",-1.1785,57,4.1,391263.3,5785,86,67.6341054451167,0.00285485779843949,0.0557504384865948,4.83251670786059,3.7470475573412
"CT","1998",-0.8975,59.2,4.03,145475.5,3365,88,43.2319465081724,0.00152915505480162,0.692102015631427,0.288907236964917,10.0655747234075
"CT","1999",-0.907,51.32,4.12,152287.5,3386,88,44.9756349675133,0.00133881483244621,0.69642122583299,0.288907236964917,10.0655747234075
"CT","2000",-0.907,49.96,3.91,165614.3,3412,88,48.538774912075,0.0014652925859226,0.701768819415878,0.288907236964917,10.0655747234075
"CT","2001",-0.969,51.84,3.8,171216.6,3433,88,49.8737547334693,0.0014859774739017,0.706088029617441,0.288907236964917,10.0655747234075
"CT","2002",-0.9695,51.1,3.76,173248.3,3459,88,50.0862387973403,0.00191628833052776,0.711435623200329,0.288907236964917,10.0655747234075
"CT","2003",-1.0205,51.4,4.08,178702.2,3484,88,51.2922502870264,0.00167014498904733,0.716577540106952,0.288907236964917,10.0655747234075
"CT","2004",-1.021,50.8,3.89,195354.9,3496,88,55.8795480549199,0.00152111521635022,0.719045660222131,0.288907236964917,10.0655747234075
"CT","2005",-1.051,51.5,3.67,205214.6,3507,88,58.5157114342743,0.00116077173918943,0.721308103661045,0.288907236964917,10.0655747234075
"CT","2006",-1.0475,49.5,3.3,219768.4,3517,88,62.4874609041797,0.00122029020342406,0.723364870423694,0.288907236964917,10.0655747234075
"CT","2007",-1.0535,49.3,3.26,234540.7,3527,88,66.4986390700312,0.00131487881369109,0.725421637186343,0.288907236964917,10.0655747234075
"CT","2008",-1.054,49.6,3.01,238936.8,3546,88,67.3820642978003,0.00119757399604931,0.729329494035376,0.288907236964917,10.0655747234075
"CT","2009",-1.074,46.2,3.13,233290.7,3562,88,65.4943009545199,0.00122309897630227,0.732620320855615,0.288907236964917,10.0655747234075
"CT","2010",-1.074,46.2,3.15,234700,3579,88,65.5769768091646,0.00114844608584792,0.736116824352118,0.288907236964917,10.0655747234075
"CT","2011",-1.0465,45.1,3.12,233158.7,3589,86.3,64.964809139036,0.000962026363053443,0.738173591114768,0.288907236964917,10.0655747234075
"CT","2012",-1.0465,44.8,3.02,240911.9,3595,86.3,67.0130458970793,0.00140149501820015,0.739407651172357,0.288907236964917,10.0655747234075
"CT","2013",-1.0375,44.5,3.17,241517.4,3596,86.3,67.1627919911012,0.00141203700740327,0.739613327848622,0.288907236964917,10.0655747234075
"CT","2014",-1.0355,45.2,3.19,246597,3596,86.3,68.575361512792,0.0014487262991149,0.739613327848622,0.288907236964917,10.0655747234075
"CT","2015",-1.008,44.7,3.12,259487.8,3589,86.3,72.3008637503483,0.00114148037257934,0.738173591114768,0.288907236964917,10.0655747234075
"CT","2016",-1.0085,43.9,2.98,263670.3,3580,86.3,73.6509217877095,0.00128549408039746,0.736322501028383,0.288907236964917,10.0655747234075
"CT","2017",-0.6935,44,2.95,271443.2,3575,86.3,75.9281678321678,0.00105623608363199,0.735294117647059,0.288907236964917,10.0655747234075
"CT","2018",-0.7,44.8,3.04,279923,3575,86.3,78.3001398601399,0.000975298385835131,0.735294117647059,0.288907236964917,10.0655747234075
"CT","2019",-1.0605,44.5,2.92,288536.3,3566,86.3,80.9131519910264,0.00076274638851778,0.733443027560675,0.288907236964917,10.0655747234075
"CT","2020",-1.0575,43.8,2.83,276223.3,3597,86.3,76.7926883514039,0.000816849978152793,0.739819004524887,0.288907236964917,10.0655747234075
"DE","1998",-0.1885,72.9,5.41,37106,763,83.3,48.6317169069463,0.0022137124363179,0.384964682139253,0.566186532527963,6.06804332916194
"DE","1999",-0.223,70.65,5.28,40345.1,775,83.3,52.0581935483871,0.00184576084907708,0.391019172552977,0.566186532527963,6.06804332916194
"DE","2000",-0.223,71.45,5.41,43451.3,786,83.3,55.2815521628499,0.00197353150490304,0.39656912209889,0.566186532527963,6.06804332916194
"DE","2001",-0.1875,69.56,5,46096.1,796,83.3,57.9096733668342,0.0018965376298646,0.401614530776993,0.566186532527963,6.06804332916194
"DE","2002",-0.1875,69.1,5.46,45508.3,806,83.3,56.4619106699752,0.00227081924378003,0.406659939455096,0.566186532527963,6.06804332916194
"DE","2003",-0.171,71.3,5.3,47686.1,818,83.3,58.2959657701712,0.0019618923768321,0.412714429868819,0.566186532527963,6.06804332916194
"DE","2004",-0.171,71.6,4.81,51353.7,831,83.3,61.7974729241877,0.00179202271519279,0.419273461150353,0.566186532527963,6.06804332916194
"DE","2005",-0.178,71.7,5.05,52153.5,845,83.3,61.7201183431953,0.00135320164428812,0.426337033299697,0.566186532527963,6.06804332916194
"DE","2006",-0.178,71.3,4.75,55174.4,859,83.3,64.2309662398137,0.00144008405023773,0.433400605449041,0.566186532527963,6.06804332916194
"DE","2007",-0.251,71.7,4.86,56612.8,872,83.3,64.9229357798165,0.00162701820348715,0.439959636730575,0.566186532527963,6.06804332916194
"DE","2008",-0.251,70.6,4.97,55459.8,884,83.3,62.7373303167421,0.00148582018766575,0.446014127144299,0.566186532527963,6.06804332916194
"DE","2009",-0.583,66.9,4.22,57849.7,892,83.3,64.8539237668161,0.00150337951926245,0.450050454086781,0.566186532527963,6.06804332916194
"DE","2010",-0.588,67.1,4.4,58163.5,900,83.3,64.6261111111111,0.00141791753520072,0.454086781029263,0.566186532527963,6.06804332916194
"DE","2011",-0.6285,62.4,4.54,61372.2,908,82.6,67.5905286343612,0.0011807091700089,0.458123107971746,0.566186532527963,6.06804332916194
"DE","2012",-0.6285,61.3,4.54,62354.6,916,82.6,68.0727074235808,0.00188384838047583,0.462159434914228,0.566186532527963,6.06804332916194
"DE","2013",-0.674,61.6,4.66,61716.2,924,82.6,66.7924242424242,0.00187245157773661,0.46619576185671,0.566186532527963,6.06804332916194
"DE","2014",-0.674,60.3,4.33,68354.7,933,82.6,73.2633440514469,0.00189947976293524,0.470736629667003,0.566186532527963,6.06804332916194
"DE","2015",-0.684,60,4.26,71913.9,942,82.6,76.3417197452229,0.00148834356805167,0.475277497477296,0.566186532527963,6.06804332916194
"DE","2016",-0.684,60.2,4.46,69355,950,82.6,73.0052631578947,0.00167772235615691,0.479313824419778,0.566186532527963,6.06804332916194
"DE","2017",-0.6655,60.2,4.64,68302.5,958,82.6,71.2969728601253,0.00149642122255112,0.48335015136226,0.566186532527963,6.06804332916194
"DE","2018",-0.647,60.5,4.89,72168.3,967,82.6,74.6311271975181,0.00136583634361459,0.487891019172553,0.566186532527963,6.06804332916194
"DE","2019",-0.672,60.6,4.65,76923.7,977,82.6,78.7345957011259,0.00105369737243475,0.492936427850656,0.566186532527963,6.06804332916194
"DE","2020",-0.672,59.9,4.45,75818.6,992,82.6,76.4300403225807,0.00111989313083272,0.50050454086781,0.566186532527963,6.06804332916194
"FL","1998",0.186,63.1,6.56,429138.4,15487,91.2,27.7095886872861,0.00409143174973117,0.286319097799963,4.24165888109267,24.7331821047357
"FL","1999",0.1695,62.61,6.37,458058.9,15759,91.2,29.0664953359985,0.0035496032425256,0.29134775374376,4.24165888109267,24.7331821047357
"FL","2000",0.1715,63.33,6.34,490429.8,16048,91.2,30.5601819541376,0.00356344447999439,0.296690700684045,4.24165888109267,24.7331821047357
"FL","2001",0.2695,63.72,6.15,519058.6,16357,91.2,31.7331173198019,0.00444930146827799,0.302403401737844,4.24165888109267,24.7331821047357
"FL","2002",0.2695,62.7,6.06,553010.3,16689,91.2,33.1362154712685,0.00413032430621185,0.308541320022185,4.24165888109267,24.7331821047357
"FL","2003",0.2825,63.5,5.81,590483.1,17004,91.2,34.7261291460833,0.00340820647970085,0.314364947310039,4.24165888109267,24.7331821047357
"FL","2004",0.2905,63.4,5.65,646630.6,17415,91.2,37.1306689635372,0.0037861403144084,0.321963394342762,4.24165888109267,24.7331821047357
"FL","2005",0.3,63.5,5.42,705851.9,17842,91.2,39.5612543436834,0.00331953505035955,0.329857644666297,4.24165888109267,24.7331821047357
"FL","2006",0.3065,62.4,5.32,750523.8,18167,91.2,41.3124786701161,0.00354379196566756,0.335866149010908,4.24165888109267,24.7331821047357
