"State","Year","Ideology","CarbonIntensity","EnergyIntensity","Population","PercentUrban","EmissionsPerCapita","GDPPerCapita","PropManuEmployment","PropFarmEmployment","GHI","Speed120m"
"AK","2015",0.4255,57.1,11.2,738,64.9,0.0474254742547425,69.7708672086721,0.0363152388852671,0.00268785181944393,NA,NA
"AK","2016",0.4165,56.3,10.94,743,64.9,0.0449528936742934,68.2741588156124,0.0359822549667281,0.00274969265567373,NA,NA
"AK","2017",0.316,56.1,11.08,741,64.9,0.0454790823211876,71.9318488529015,0.035379211941609,0.00336077269234991,NA,NA
"AK","2018",0.2785,57.1,11.33,737,64.9,0.0468113975576662,74.4906377204885,0.0337924604640526,0.00351821556106743,NA,NA
"AK","2019",0.4225,56.6,11.33,734,64.9,0.0467302452316076,74.5615803814714,0.0341995368812714,0.00314683238664476,NA,NA
"AK","2020",0.4225,56.2,12.62,733,64.9,0.0491132332878581,68.8611186903138,NA,0.00325410825364404,NA,NA
"AL","1998",0.011,57.2,13.36,4405,59,0.0303064699205448,25.0197502837684,0.157212522841857,0.0256866105647506,4.75757035049498,6.16495276395346
"AL","1999",0.0765,57.43,13.17,4430,59,0.0306636568848758,26.1128893905192,0.152075273198367,0.0245465405385631,4.75757035049498,6.16495276395346
"AL","2000",0.0355,58.73,13.32,4452,59,0.03196316262354,26.9208670260557,0.147889099060498,0.0239375476805066,4.75757035049498,6.16495276395346
"AL","2001",0.0355,58.19,12.11,4468,59,0.0298388540734109,27.5101835273053,0.14109996704619,0.0235878576782589,4.75757035049498,6.16495276395346
"AL","2002",0.0355,58,12.22,4480,59,0.0308705357142857,28.4609375,0.133209208784229,0.0215736528941416,4.75757035049498,6.16495276395346
"AL","2003",-0.0215,58,11.83,4503,59,0.0310459693537642,29.7918276704419,0.126355037405716,0.0208368034632283,4.75757035049498,6.16495276395346
"AL","2004",-0.005,57.3,11.7,4531,59,0.031339660119179,32.6010152284264,0.123036299548575,0.0201158452373591,4.75757035049498,6.16495276395346
"AL","2005",-0.004,58.1,11.2,4570,59,0.0314004376367615,34.7585995623632,0.123077622144506,0.0190169891054029,4.75757035049498,6.16495276395346
"AL","2006",-0.004,58.3,11.13,4629,59,0.0314970836033701,35.9621948585008,0.121761256028665,0.0184659721466545,4.75757035049498,6.16495276395346
"AL","2007",-0.0315,58.7,11.04,4673,59,0.0315215065268564,37.0158784506741,0.116825799851619,0.0194895910615074,4.75757035049498,6.16495276395346
"AL","2008",-0.0495,56.4,10.71,4718,59,0.0295464179737177,36.9915854175498,0.112378997909084,0.0191973205296988,4.75757035049498,6.16495276395346
"AL","2009",0.0855,52,9.96,4758,59,0.0251786464901219,35.9249474569147,0.102696055794872,0.0204003934646791,4.75757035049498,6.16495276395346
"AL","2010",0.026,54.1,10.51,4786,59,0.0276849143334726,37.0349352277476,0.099254360739827,0.0197418612732974,4.75757035049498,6.16495276395346
"AL","2011",0.868,52.4,10.22,4800,57.7,0.0269791666666667,38.3159583333333,0.0986083121761876,0.0193096485391761,4.75757035049498,6.16495276395346
"AL","2012",0.8745,50.4,9.99,4817,57.7,0.0254515258459622,39.2870043595599,0.100832542489863,0.0181893998217007,4.75757035049498,6.16495276395346
"AL","2013",0.883,49.2,10.1,4832,57.7,0.0249379139072848,40.3118584437086,0.102631766692297,0.0182519361717307,4.75757035049498,6.16495276395346
"AL","2014",0.879,50.2,10.36,4844,57.7,0.0253096614368291,40.7528695293146,0.102835687329171,0.0169634237317887,4.75757035049498,6.16495276395346
"AL","2015",0.9125,49,10.02,4855,57.7,0.0245520082389289,41.6832955715757,0.103526339241031,0.0172763532499292,4.75757035049498,6.16495276395346
"AL","2016",0.9125,48.7,9.9,4867,57.7,0.0234230532155332,42.6070269159647,0.103525855984573,0.0169836103369735,4.75757035049498,6.16495276395346
"AL","2017",0.9125,46.8,9.67,4878,57.7,0.0222632226322263,43.9947314473145,0.10347226468752,0.0168943939013039,4.75757035049498,6.16495276395346
"AL","2018",0.9135,47.2,9.77,4892,57.7,0.0229762878168438,45.7602820932134,0.103111174168704,0.0159677673353083,4.75757035049498,6.16495276395346
"AL","2019",0.8885,45.2,9.47,4908,57.7,0.0216585167074165,47.1805012224939,0.102968342449318,0.0149025510252993,4.75757035049498,6.16495276395346
"AL","2020",0.8885,43.5,9.21,5031,57.7,0.0195587358378056,45.8938779566687,0.100805127657941,0.0153440371695298,4.75757035049498,6.16495276395346
"AR","1998",-0.019,55,12.79,2626,56.2,0.023038842345773,23.7611195734958,0.168368688154429,0.0451528014521949,4.62091615098764,6.71145400538028
"AR","1999",-0.0265,55.95,12.35,2652,56.2,0.0236500754147813,25.1927978883861,0.165170018091256,0.0439538090927393,4.62091615098764,6.71145400538028
"AR","2000",-0.0265,56.99,12.7,2679,56.2,0.0236282194848824,25.6358715938783,0.16204267398069,0.0430632014996806,4.62091615098764,6.71145400538028
"AR","2001",0.052,56.44,12.21,2692,56.2,0.0232169390787519,26.2320579494799,0.15603536251161,0.0423705320497212,4.62091615098764,6.71145400538028
"AR","2002",0.052,54.6,12.03,2706,56.2,0.0226164079822616,27.3887287509239,0.147584047818678,0.0398770724582804,4.62091615098764,6.71145400538028
"AR","2003",0.0575,55.2,11.35,2725,56.2,0.0228256880733945,28.8789357798165,0.141761345617418,0.0388447975946441,4.62091615098764,6.71145400538028
"AR","2004",0.0575,55.6,10.73,2750,56.2,0.0227272727272727,30.9816727272727,0.138164862340092,0.0366364446948546,4.62091615098764,6.71145400538028
"AR","2005",0.142,55.9,10.54,2781,56.2,0.0216468896080547,32.6816612729234,0.133590995733157,0.0349938315803576,4.62091615098764,6.71145400538028
"AR","2006",0.142,55.6,10.26,2822,56.2,0.0220056697377746,33.9741672572644,0.129603582398025,0.0342892135756045,4.62091615098764,6.71145400538028
"AR","2007",0.0915,55.2,10.49,2849,56.2,0.0222534222534223,34.5319761319761,0.122366577248542,0.0342482370140496,4.62091615098764,6.71145400538028
"AR","2008",0.0915,56,10.42,2875,56.2,0.0223304347826087,34.6806260869565,0.117944593952826,0.0352211492797214,4.62091615098764,6.71145400538028
"AR","2009",0.0865,54.1,10.11,2897,56.2,0.0212288574387297,33.6583016914049,0.10806051445845,0.0356574355889932,4.62091615098764,6.71145400538028
"AR","2010",0.092,54.8,10.69,2922,56.2,0.022621492128679,34.7318617385353,0.105587672343877,0.0357683698296837,4.62091615098764,6.71145400538028
"AR","2011",0.253,55.5,10.48,2941,55.5,0.022951377082625,35.9633117987079,0.103969514619423,0.0343748019276164,4.62091615098764,6.71145400538028
"AR","2012",0.253,54.9,9.91,2953,55.5,0.0224517439891636,36.7396207246868,0.101906640368179,0.0317134461561463,4.62091615098764,6.71145400538028
"AR","2013",0.7145,57.4,9.99,2960,55.5,0.0231418918918919,38.2524662162162,0.100426416407219,0.0331001594282503,4.62091615098764,6.71145400538028
"AR","2014",0.7375,56.5,10.04,2969,55.5,0.0232064668238464,39.117345907713,0.0998275175632226,0.0324831423301382,4.62091615098764,6.71145400538028
"AR","2015",0.9715,53.1,9.46,2980,55.5,0.0198322147651007,39.5257718120805,0.0996766201121307,0.0325999705736097,4.62091615098764,6.71145400538028
"AR","2016",0.9715,53.9,9.35,2992,55.5,0.0207553475935829,39.8236631016043,0.0987829915802211,0.0337073411980115,4.62091615098764,6.71145400538028
"AR","2017",1.029,55.3,9.29,3004,55.5,0.0213715046604527,40.7678761651132,0.0996699195013364,0.0322372725703898,4.62091615098764,6.71145400538028
"AR","2018",1.032,56.4,9.64,3012,55.5,0.0235059760956175,42.3425298804781,0.100326737473857,0.0316901578326535,4.62091615098764,6.71145400538028
"AR","2019",1.0285,53.5,9.37,3021,55.5,0.0215491559086395,43.5545514730222,0.100873239098034,0.0337504206933026,4.62091615098764,6.71145400538028
"AR","2020",1.0285,50.3,8.83,3014,55.5,0.0181486396814864,44.4489382879894,0.097849836781762,0.0334217775146067,4.62091615098764,6.71145400538028
"AZ","1998",0.2885,52.5,6.78,4883,89.8,0.0157075568298177,29.347245545771,0.0842747434533201,0.00796013282941328,5.69577703468989,5.78954323824872
"AZ","1999",0.243,53.76,6.47,5024,89.8,0.016046974522293,31.0023487261146,0.080555155770335,0.00725103231138339,5.69577703468989,5.78954323824872
"AZ","2000",0.243,55.44,6.39,5161,89.8,0.0167796938577795,31.9919976748692,0.078322047752819,0.00701657320516436,5.69577703468989,5.78954323824872
"AZ","2001",-0.0765,56.41,6.29,5273,89.8,0.0168518869713635,32.6018585245591,0.0745945036447482,0.00788829417582596,5.69577703468989,5.78954323824872
"AZ","2002",0.0265,55.2,6.05,5396,89.8,0.0163639733135656,33.4548369162342,0.0680541749939411,0.00676976681289887,5.69577703468989,5.78954323824872
"AZ","2003",0.3025,56.5,5.79,5510,89.8,0.0164246823956443,35.1424500907441,0.0636876755813575,0.0077227515730547,5.69577703468989,5.78954323824872
"AZ","2004",0.3455,56.7,5.75,5652,89.8,0.0172151450813871,36.5430113234253,0.0614466985966229,0.00741817469239169,5.69577703468989,5.78954323824872
"AZ","2005",0.5775,57.5,5.5,5839,89.8,0.0166638122966261,39.033379003254,0.0591518290427446,0.0072644286180597,5.69577703468989,5.78954323824872
"AZ","2006",0.5835,58.2,5.44,6029,89.8,0.0166694310830984,40.7956543373694,0.0579830030611556,0.00677560651292547,5.69577703468989,5.78954323824872
"AZ","2007",0.425,57.2,5.29,6168,89.8,0.0166018158236057,42.378728923476,0.055772979727653,0.00817271826069641,5.69577703468989,5.78954323824872
"AZ","2008",0.485,56.1,5.22,6280,89.8,0.0163375796178344,41.8671974522293,0.0539951440076219,0.00801456209963189,5.69577703468989,5.78954323824872
"AZ","2009",0.6115,55.1,5.36,6343,89.8,0.0148037206369226,38.8498029323664,0.0512108349470779,0.00879754041795054,5.69577703468989,5.78954323824872
"AZ","2010",0.622,56.2,5.51,6407,89.8,0.0155298891837053,39.1997814889964,0.0499198035682462,0.00899212116811768,5.69577703468989,5.78954323824872
"AZ","2011",0.836,55.4,5.54,6473,89.3,0.0150934651629847,40.3083114475514,0.0498922982355558,0.00917155314990227,5.69577703468989,5.78954323824872
"AZ","2012",0.7865,54.6,5.32,6556,89.3,0.0145668090298963,41.4032946918853,0.050572714815089,0.00958418853162403,5.69577703468989,5.78954323824872
"AZ","2013",0.707,55.6,5.34,6635,89.3,0.0149660889223813,41.9881838733986,0.0499812969116025,0.00966598152947657,5.69577703468989,5.78954323824872
"AZ","2014",0.695,54.5,5.31,6733,89.3,0.0144512104559632,42.7248774691816,0.0491237900019315,0.00895176712354987,5.69577703468989,5.78954323824872
"AZ","2015",0.8045,52.8,5.28,6833,89.3,0.0139031172252305,43.8157910141958,0.0484157527510488,0.00898285539683063,5.69577703468989,5.78954323824872
"AZ","2016",0.7725,51.2,5.23,6945,89.3,0.0130885529157667,45.0801151907847,0.0480699716389774,0.00916376275073111,5.69577703468989,5.78954323824872
"AZ","2017",0.8305,51.3,5.04,7048,89.3,0.0128405221339387,47.1058172531215,0.0477634547324371,0.0082587782600641,5.69577703468989,5.78954323824872
"AZ","2018",0.8305,51.5,4.89,7164,89.3,0.0131351200446678,49.1177414852038,0.0478678074609941,0.00803971006093535,5.69577703468989,5.78954323824872
"AZ","2019",0.791,49.8,4.78,7292,89.3,0.0126988480526604,51.0687739989029,0.0486022069011144,0.00752962191582834,5.69577703468989,5.78954323824872
"AZ","2020",0.7755,46.6,4.6,7180,89.3,0.0111699164345404,53.2134122562674,0.0488648947598145,0.0076971290802909,5.69577703468989,5.78954323824872
"CA","1998",-0.826,51.8,5.32,32988,95,0.010994907238996,34.785994907239,0.105354159540581,0.0182049290764078,5.33350093303078,5.22102950770281
"CA","1999",-0.988,52.4,4.96,33499,95,0.0109286844383414,37.0727394847607,0.100879127221065,0.0191364103776222,5.33350093303078,5.22102950770281
"CA","2000",-0.988,52.96,4.65,33988,95,0.0112480875603154,39.9251323996705,0.0998355339711408,0.0169892237697486,5.33350093303078,5.22102950770281
"CA","2001",-1.132,54,4.68,34479,95,0.0111824588880188,39.9014269555382,0.0965666600728859,0.0149893043223525,5.33350093303078,5.22102950770281
"CA","2002",-1.132,53.8,4.62,34872,95,0.0110231704519385,40.675315439321,0.0888768825241495,0.0163975557502586,5.33350093303078,5.22102950770281
"CA","2003",-1.1885,53.1,4.38,35253,95,0.0106260460102686,42.4905313023005,0.0829172042615505,0.0159465718815783,5.33350093303078,5.22102950770281
"CA","2004",-1.1885,53.9,4.44,35575,95,0.0110386507378777,44.6430751932537,0.080943574508444,0.0140195612522186,5.33350093303078,5.22102950770281
"CA","2005",-1.1925,53.2,4.23,35828,95,0.0108741766216367,47.4087417662164,0.0786407329958221,0.012141440704139,5.33350093303078,5.22102950770281
"CA","2006",-1.1925,53.3,4.12,36021,95,0.011043557924544,50.3098192720913,0.0768677027203383,0.0108699023527835,5.33350093303078,5.22102950770281
"CA","2007",-1.232,54.2,4.05,36250,95,0.0111062068965517,52.3835034482759,0.0740572758954349,0.0112686841970714,5.33350093303078,5.22102950770281
"CA","2008",-1.232,53.9,3.92,36604,95,0.0104906567588242,53.1279450333297,0.072775754664934,0.0107891479597654,5.33350093303078,5.22102950770281
"CA","2009",-1.254,53.6,3.89,36961,95,0.0100213738805768,51.1394686290955,0.0693621804554524,0.0114487914870489,5.33350093303078,5.22102950770281
"CA","2010",-1.283,52.3,3.76,37320,95,0.00955519828510182,52.3604689174705,0.0673358298191925,0.0118388941880441,5.33350093303078,5.22102950770281
"CA","2011",-1.376,50.5,3.71,37636,94.2,0.00910564353278776,53.7650122223403,0.0668165535343539,0.0114125832418743,5.33350093303078,5.22102950770281
"CA","2012",-1.3715,52.7,3.52,37945,94.2,0.00919225194360258,55.6884016339439,0.0651239306642659,0.0107453849313485,5.33350093303078,5.22102950770281
"CA","2013",-1.3545,51.9,3.47,38254,94.2,0.00914152768337952,58.0433392586396,0.0636876165555521,0.0107335828263801,5.33350093303078,5.22102950770281
"CA","2014",-1.2685,51.9,3.31,38587,94.2,0.00895120118174515,60.5200326534843,0.0624562295502072,0.0109877041092363,5.33350093303078,5.22102950770281
"CA","2015",-1.246,51.9,3.21,38904,94.2,0.00903249023236685,63.5810173761053,0.0616722002629239,0.0106052869076912,5.33350093303078,5.22102950770281
"CA","2016",-1.247,50.8,3.17,39149,94.2,0.00902705049937418,65.6372832000817,0.0609999732073067,0.0101721631165054,5.33350093303078,5.22102950770281
"CA","2017",-1.2425,49.7,3.08,39338,94.2,0.0090624841120545,69.3665946413137,0.0602565965574405,0.00977724030456828,5.33350093303078,5.22102950770281
"CA","2018",-1.276,50.8,3,39437,94.2,0.00909298374622816,73.4640236326293,0.0591790265636758,0.00975355961462058,5.33350093303078,5.22102950770281
"CA","2019",-1.2265,49.7,2.89,39438,94.2,0.00908514630559359,77.1513286677823,0.0585291649129736,0.0097383833969011,5.33350093303078,5.22102950770281
"CA","2020",-1.2545,48.3,2.64,39502,94.2,0.00769074983545137,76.4562148751962,0.058783650802789,0.00996325012284006,5.33350093303078,5.22102950770281
"CO","1998",0.349,69.5,5.9,4117,86.2,0.0190429924702453,36.5144522710712,0.0732716045542327,0.0161852317171401,4.97980550085799,6.38418316943725
"CO","1999",0.433,70.56,5.6,4226,86.2,0.0190392806436346,38.7513724562234,0.0700877891067445,0.0156129659401054,4.97980550085799,6.38418316943725
"CO","2000",0.4045,69.83,5.48,4327,86.2,0.0197596487173561,41.6138664201525,0.0677312764007701,0.0154228818211913,4.97980550085799,6.38418316943725
"CO","2001",0.1645,69.22,5.83,4426,86.2,0.0210799819249887,42.1816086760054,0.0652233848237497,0.0158401105799156,4.97980550085799,6.38418316943725
"CO","2002",-0.011,69.9,5.82,4490,86.2,0.0204008908685969,42.3204899777283,0.0606517187744799,0.0153603116698258,4.97980550085799,6.38418316943725
"CO","2003",0.176,69.1,5.77,4529,86.2,0.0200927357032458,43.3045926253036,0.0562780653720969,0.0157821035538957,4.97980550085799,6.38418316943725
"CO","2004",0.4245,69.2,5.81,4575,86.2,0.0204371584699454,44.6267103825137,0.0547233780764407,0.0146489451961722,4.97980550085799,6.38418316943725
"CO","2005",-0.5715,68.9,5.71,4632,86.2,0.0206822107081174,47.6648747841105,0.0530701669169966,0.0140381254530061,4.97980550085799,6.38418316943725
"CO","2006",-0.6635,68.9,5.64,4720,86.2,0.0204661016949153,49.2895550847458,0.051733392509403,0.0134648071229978,4.97980550085799,6.38418316943725
"CO","2007",-0.812,67.8,5.56,4804,86.2,0.0206702747710241,51.7165903413822,0.0495533668016899,0.0140128932415362,4.97980550085799,6.38418316943725
"CO","2008",-0.819,66.8,5.49,4890,86.2,0.019918200408998,52.9389979550102,0.0480674352223234,0.0139010556362115,4.97980550085799,6.38418316943725
"CO","2009",-0.849,65.7,5.53,4972,86.2,0.0187650844730491,50.5284995977474,0.0455503821488184,0.0139868426790677,4.97980550085799,6.38418316943725
"CO","2010",-0.849,66,5.66,5048,86.2,0.0189976228209192,51.1688193343899,0.0440486286375571,0.0143466441366788,4.97980550085799,6.38418316943725
"CO","2011",-0.2575,65.3,5.44,5122,86,0.018059351815697,52.2288363920344,0.0448306297173875,0.0139567879194933,4.97980550085799,6.38418316943725
"CO","2012",-0.2575,65.5,5.22,5194,86,0.0175587216018483,53.2967077396996,0.0450527013906596,0.013511550418767,4.97980550085799,6.38418316943725
"CO","2013",-0.9615,64.4,5.15,5271,86,0.0174729652817302,55.4241130715234,0.0445382937224246,0.0136436912672512,4.97980550085799,6.38418316943725
"CO","2014",-0.924,63.6,4.99,5353,86,0.0173360732299645,57.826004109845,0.0440964727493465,0.0131135344167557,4.97980550085799,6.38418316943725
"CO","2015",-0.267,63.2,4.8,5454,86,0.0167400073340667,58.8047488082141,0.0443278637522302,0.0127649050025278,4.97980550085799,6.38418316943725
"CO","2016",-0.267,62,4.6,5544,86,0.0159451659451659,59.5078823953824,0.0439980374772037,0.0127613072103622,4.97980550085799,6.38418316943725
"CO","2017",-0.1885,62.1,4.47,5617,86,0.0158091507922378,62.1606729570945,0.0433320002510166,0.0133570593622265,4.97980550085799,6.38418316943725
"CO","2018",-0.188,60.8,4.45,5697,86,0.0158153414077585,65.3347551342812,0.0429522592257453,0.0125635662798754,4.97980550085799,6.38418316943725
"CO","2019",-1.1485,59.9,4.37,5758,86,0.0159256686349427,68.5193990969087,0.0428397421347928,0.0122205595843428,4.97980550085799,6.38418316943725
"CO","2020",-1.1785,57,4.1,5785,86,0.0138115816767502,67.6341054451167,0.0427342174408299,0.0127330215693863,4.97980550085799,6.38418316943725
"CT","1998",-0.8975,59.2,4.03,3365,88,0.0118573551263001,43.2319465081724,0.124676886821401,0.00473776588563082,4.0451930314375,7.20641945756
"CT","1999",-0.907,51.32,4.12,3386,88,0.0121588895451861,44.9756349675133,0.118628920134994,0.00461348645277481,4.0451930314375,7.20641945756
"CT","2000",-0.907,49.96,3.91,3412,88,0.0125439624853458,48.538774912075,0.113699657771754,0.00462709207020943,4.0451930314375,7.20641945756
"CT","2001",-0.969,51.84,3.8,3433,88,0.0121089426157879,49.8737547334693,0.109763402286692,0.00481495614875029,4.0451930314375,7.20641945756
"CT","2002",-0.9695,51.1,3.76,3459,88,0.0115640358485111,50.0862387973403,0.103146731793282,0.00483066466262553,4.0451930314375,7.20641945756
"CT","2003",-1.0205,51.4,4.08,3484,88,0.0123421354764638,51.2922502870264,0.098044432619396,0.00479577252415285,4.0451930314375,7.20641945756
"CT","2004",-1.021,50.8,3.89,3496,88,0.0127860411899314,55.8795480549199,0.09553582587641,0.00414957496936086,4.0451930314375,7.20641945756
"CT","2005",-1.051,51.5,3.67,3507,88,0.0125178214998574,58.5157114342743,0.0932073030642759,0.00398026671700511,4.0451930314375,7.20641945756
"CT","2006",-1.0475,49.5,3.3,3517,88,0.0116292294569235,62.4874609041797,0.0913190314850463,0.00366878238112559,4.0451930314375,7.20641945756
"CT","2007",-1.0535,49.3,3.26,3527,88,0.0113694357811171,66.4986390700312,0.0887959022550867,0.00376137217279246,4.0451930314375,7.20641945756
"CT","2008",-1.054,49.6,3.01,3546,88,0.0106316976875353,67.3820642978003,0.0863560951155479,0.00399321477059515,4.0451930314375,7.20641945756
"CT","2009",-1.074,46.2,3.13,3562,88,0.0101066816395284,65.4943009545199,0.081930323276284,0.00410805898083528,4.0451930314375,7.20641945756
"CT","2010",-1.074,46.2,3.15,3579,88,0.0101704386700196,65.5769768091646,0.0798023886479369,0.00422387358766817,4.0451930314375,7.20641945756
"CT","2011",-1.0465,45.1,3.12,3589,86.3,0.00975202006129841,64.964809139036,0.0790485044099657,0.00447591459365721,4.0451930314375,7.20641945756
"CT","2012",-1.0465,44.8,3.02,3595,86.3,0.00954102920723227,67.0130458970793,0.0780656905250573,0.00448264089890309,4.0451930314375,7.20641945756
"CT","2013",-1.0375,44.5,3.17,3596,86.3,0.0096218020022247,67.1627919911012,0.076963104911852,0.00475939292367477,4.0451930314375,7.20641945756
"CT","2014",-1.0355,45.2,3.19,3596,86.3,0.00973303670745273,68.575361512792,0.0743267723154849,0.0046975787500866,4.0451930314375,7.20641945756
"CT","2015",-1.008,44.7,3.12,3589,86.3,0.0101142379492895,72.3008637503483,0.073481389283192,0.00464874588312624,4.0451930314375,7.20641945756
"CT","2016",-1.0085,43.9,2.98,3580,86.3,0.00952513966480447,73.6509217877095,0.0721200035979179,0.00442656879866477,4.0451930314375,7.20641945756
"CT","2017",-0.6935,44,2.95,3575,86.3,0.00948251748251748,75.9281678321678,0.0732582610846626,0.00422036862581094,4.0451930314375,7.20641945756
"CT","2018",-0.7,44.8,3.04,3575,86.3,0.0104615384615385,78.3001398601399,0.0733901787238087,0.00412924801195957,4.0451930314375,7.20641945756
"CT","2019",-1.0605,44.5,2.92,3566,86.3,0.010263600673023,80.9131519910264,0.0741582568507905,0.00410372904073702,4.0451930314375,7.20641945756
"CT","2020",-1.0575,43.8,2.83,3597,86.3,0.00939671948846261,76.7926883514039,0.0733443009751821,0.00420621692119533,4.0451930314375,7.20641945756
"DE","1998",-0.1885,72.9,5.41,763,83.3,0.0212319790301442,48.6317169069463,0.0918736592881161,0.00840424326128297,4.30054756002778,7.30838080247243
"DE","1999",-0.223,70.65,5.28,775,83.3,0.0211612903225806,52.0581935483871,0.0910211030960169,0.00824002378731533,4.30054756002778,7.30838080247243
"DE","2000",-0.223,71.45,5.41,786,83.3,0.0212468193384224,55.2815521628499,0.0859654628588681,0.00844559029750247,4.30054756002778,7.30838080247243
"DE","2001",-0.1875,69.56,5,796,83.3,0.0201005025125628,57.9096733668342,0.0799049200871234,0.00803803196515063,4.30054756002778,7.30838080247243
"DE","2002",-0.1875,69.1,5.46,806,83.3,0.019727047146402,56.4619106699752,0.0755462074090054,0.00760835260889193,4.30054756002778,7.30838080247243
"DE","2003",-0.171,71.3,5.3,818,83.3,0.0202933985330073,58.2959657701712,0.0722233573833192,0.00670318138265267,4.30054756002778,7.30838080247243
"DE","2004",-0.171,71.6,4.81,831,83.3,0.0199759326113117,61.7974729241877,0.0686381235837512,0.00628071353846985,4.30054756002778,7.30838080247243
"DE","2005",-0.178,71.7,5.05,845,83.3,0.0205917159763314,61.7201183431953,0.0644377819602206,0.00598488645928896,4.30054756002778,7.30838080247243
"DE","2006",-0.178,71.3,4.75,859,83.3,0.0188591385331781,64.2309662398137,0.0636534250860181,0.00584253094418875,4.30054756002778,7.30838080247243
"DE","2007",-0.251,71.7,4.86,872,83.3,0.0196100917431193,64.9229357798165,0.063119454613853,0.00589428096928992,4.30054756002778,7.30838080247243
"DE","2008",-0.251,70.6,4.97,884,83.3,0.0183257918552036,62.7373303167421,0.0601286557220596,0.0055903755976251,4.30054756002778,7.30838080247243
"DE","2009",-0.583,66.9,4.22,892,83.3,0.0133408071748879,64.8539237668161,0.0552972244842046,0.00565453313952161,4.30054756002778,7.30838080247243
"DE","2010",-0.588,67.1,4.4,900,83.3,0.0145555555555556,64.6261111111111,0.0520272378680644,0.00599776782723059,4.30054756002778,7.30838080247243
"DE","2011",-0.6285,62.4,4.54,908,82.6,0.0153083700440529,67.5905286343612,0.0506467305226639,0.00584697186816502,4.30054756002778,7.30838080247243
"DE","2012",-0.6285,61.3,4.54,916,82.6,0.015938864628821,68.0727074235808,0.0505266231541985,0.007028505221309,4.30054756002778,7.30838080247243
"DE","2013",-0.674,61.6,4.66,924,82.6,0.0151515151515152,66.7924242424242,0.0490149460886998,0.00661292365763341,4.30054756002778,7.30838080247243
"DE","2014",-0.674,60.3,4.33,933,82.6,0.0147909967845659,73.2633440514469,0.0485848658187902,0.00670321988178611,4.30054756002778,7.30838080247243
"DE","2015",-0.684,60,4.26,942,82.6,0.014755838641189,76.3417197452229,0.0501483742124212,0.00650807268226823,4.30054756002778,7.30838080247243
"DE","2016",-0.684,60.2,4.46,950,82.6,0.0151578947368421,73.0052631578947,0.0470666516881119,0.00694947330216642,4.30054756002778,7.30838080247243
"DE","2017",-0.6655,60.2,4.64,958,82.6,0.0144050104384134,71.2969728601253,0.0469648174341064,0.0063640235131941,4.30054756002778,7.30838080247243
"DE","2018",-0.647,60.5,4.89,967,82.6,0.0144777662874871,74.6311271975181,0.0480083615149216,0.00573849161084786,4.30054756002778,7.30838080247243
"DE","2019",-0.672,60.6,4.65,977,82.6,0.0139201637666325,78.7345957011259,0.0477797354197151,0.00537522023471795,4.30054756002778,7.30838080247243
"DE","2020",-0.672,59.9,4.45,992,82.6,0.0126008064516129,76.4300403225807,0.0458669269716243,0.00515599720329795,4.30054756002778,7.30838080247243
